tile,role,num_aircraft,num_engines,propulsion,wing_type,wing_position
92_1040010041354E00_tile_508.png,Small Civil Transport/Utility,1,1.0,propeller,straight,mid/low mounted
96_104001000896F900_tile_946.png,Small Civil Transport/Utility,6,1.0,propeller,straight,high mounted
45_10400100202A2200_tile_38.png,Small Civil Transport/Utility,9,1.0,propeller,straight,mid/low mounted
9_10400100474E7400_tile_166.png,Small Civil Transport/Utility,1,1.0,propeller,straight,high mounted
130_104001002E47CD00_tile_1224.png,Small Civil Transport/Utility,2,1.0,propeller,straight,high mounted
87_10400100480E4300_tile_23.png,Small Civil Transport/Utility,4,1.0,propeller,straight,high mounted
106_1040010044D30600_tile_122.png,Small Civil Transport/Utility,1,1.0,propeller,straight,high mounted
10_104001002E88FE00_tile_215.png,Small Civil Transport/Utility,4,2.0,propeller,straight,mid/low mounted
113_1040010006ABC200_tile_47.png,Small Civil Transport/Utility,4,1.0,propeller,straight,high mounted
96_104001000896F900_tile_1060.png,Small Civil Transport/Utility,14,1.0,propeller,straight,mid/low mounted
76_104001004941CB00_tile_171.png,Small Civil Transport/Utility,3,1.0,propeller,straight,high mounted
96_104001003C8C7800_tile_1074.png,Small Civil Transport/Utility,1,1.0,propeller,straight,high mounted
35_104005000ADCB500_tile_112.png,Small Civil Transport/Utility,6,1.0,propeller,straight,mid/low mounted
111_10400100341A2600_tile_477.png,Small Civil Transport/Utility,1,1.0,propeller,straight,high mounted
87_104001002B095600_tile_36.png,Small Civil Transport/Utility,3,1.0,propeller,straight,high mounted
80_104001003B099300_tile_46.png,Small Civil Transport/Utility,1,1.0,propeller,straight,high mounted
108_1040010043890900_tile_38.png,Small Civil Transport/Utility,10,1.0,propeller,straight,high mounted
9_1040010008607D00_tile_165.png,Small Civil Transport/Utility,3,1.0,propeller,straight,high mounted
113_10400100413CDF00_tile_80.png,Small Civil Transport/Utility,13,2.0,propeller,straight,mid/low mounted
123_10400100458F0500_tile_125.png,Small Civil Transport/Utility,38,1.0,propeller,straight,mid/low mounted
45_104001000E6AB500_tile_107.png,Small Civil Transport/Utility,2,1.0,propeller,straight,high mounted
102_104001003D82DC00_tile_55.png,Small Civil Transport/Utility,4,1.0,propeller,straight,mid/low mounted
72_1040010042C71600_tile_156.png,Small Civil Transport/Utility,3,1.0,propeller,straight,high mounted
92_10400100447EE500_tile_473.png,Small Civil Transport/Utility,1,2.0,propeller,straight,mid/low mounted
43_104001000BA11B00_tile_44.png,Small Civil Transport/Utility,2,2.0,propeller,straight,mid/low mounted
71_10400100379F8200_tile_293.png,Small Civil Transport/Utility,4,1.0,propeller,straight,high mounted
96_104001000896F900_tile_971.png,Small Civil Transport/Utility,4,1.0,propeller,straight,mid/low mounted
9_10400100310B0100_tile_194.png,Small Civil Transport/Utility,2,1.0,propeller,straight,high mounted
92_1040010047A20B00_tile_368.png,Small Civil Transport/Utility,1,1.0,propeller,straight,mid/low mounted
