"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"69_104005000CDBE200_tile_3737","69_104005000CDBE200_tile_3737.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","3","2;1;2","Large Civil Transport/Utility;Medium Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|Large|230|69||Swept wings, wide-body proportions;Medium Civil Transport/Utility|Medium|150|40||Swept wings, narrow-body proportions;Large Civil Transport/Utility|Large|180|||Swept wings, partially clipped at bottom-right edge","2|0.5800|0.3000|0.5500|0.4000|0.9200;1|0.4200|0.6200|0.4000|0.3000|0.8500;2|0.7200|0.8800|0.4500|0.2400|0.7200","66.7%","66.7%","33.3%","82.0%","92.0%;85.0%;72.0%","Three aircraft are visible at terminal gates. The uppermost aircraft is a large wide-body with swept wings spanning much of the chip, measuring approximately 230 px in longest dimension (~69 m), consistent with a Large Civil Transport such as a 777 or similar. The middle aircraft is smaller with narrow-body proportions and swept wings, measuring roughly 150 px (~40 m), consistent with a Medium Civil Transport like a 737 or A320 family. A third aircraft is partially visible at the bottom-right edge, showing swept wings and a substantial fuselage section; treating visible size as a lower bound and noting the wide fuselage bulk, it is classified as Large Civil Transport with reduced confidence due to clipping. The main uncertainty is whether the bottom-right partial aircraft is truly large or medium; the visible wing root bulk and fuselage width favor large. An alternative interpretation could place the third aircraft as medium if the clipped portion is shorter than estimated.","$0.1590","18453","512","512","completed","```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.92,       ""bbox"": {         ""x_center"": 0.58,         ""y_center"": 0.30,         ""width"": 0.55,         ""height"": 0.40       },       ""estimated_longest_dimension_px"": 230,       ""estimated_length_m"": 69,       ""engine_count_observation"": 2,       ""wing_shape_observation"": ""Swept wings, wide-body proportions"",       ""transport_size_bucket"": ""Large""     },     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.85,       ""bbox"": {         ""x_center"": 0.42,         ""y_center"": 0.62,         ""width"": 0.40,         ""height"": 0.30       },       ""estimated_longest_dimension_px"": 150,       ""estimated_length_m"": 40,       ""engine_count_observation"": 2,       ""wing_shape_observation"": ""Swept wings, narrow-body proportions"",       ""transport_size_bucket"": ""Medium""     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.72,       ""bbox"": {         ""x_center"": 0.72,         ""y_center"": 0.88,         ""width"": 0.45,         ""height"": 0.24       },       ""estimated_longest_dimension_px"": 180,       ""wing_shape_observation"": ""Swept wings, partially clipped at bottom-right edge"",       ""transport_size_bucket"": ""Large""     }   ],   ""count"": 3,   ""countConfidence"": 0.82,   ""decision_rationale"": ""Three aircraft are visible at terminal gates. The uppermost aircraft is a large wide-body with swept wings spanning much of the chip, measuring approximately 230 px in longest dimension (~69 m), consistent with a Large Civil Transport such as a 777 or similar. The middle aircraft is smaller with narrow-body proportions and swept wings, measuring roughly 150 px (~40 m), consistent with a Medium Civil Transport like a 737 or A320 family. A third aircraft is partially visible at the bottom-right edge, showing swept wings and a substantial fuselage section; treating visible size as a lower bound and noting the wide fuselage bulk, it is classified as Large Civil Transport with reduced confidence due to clipping. The main uncertainty is whether the bottom-right partial aircraft is truly large or medium; the visible wing root bulk and fuselage width favor large. An alternative interpretation could place the third aircraft as medium if the clipped portion is shorter than estimated."" } ```"
"55_1040010049CD5600_tile_347","55_1040010049CD5600_tile_347.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|large|230|69||Swept wings, wide-body proportions;Large Civil Transport/Utility|large|225|68||Swept wings, wide-body proportions","2|0.3200|0.3000|0.4200|0.3800|0.8800;2|0.6800|0.6200|0.4200|0.4000|0.8800","100.0%","0.0%","0.0%","95.0%","88.0%;88.0%","Two large aircraft are clearly visible parked on a desert apron, oriented roughly nose-to-tail in opposite directions. Both exhibit four-engine configurations with swept wings and wide-body fuselage proportions, each measuring approximately 220-230 px in longest dimension, consistent with ~65-70 m aircraft at 0.3 m/px GSD. The four-engine, wide-body morphology and large size are consistent with Large Civil Transport/Utility (class 2), such as Boeing 747 or similar wide-body types. An alternative interpretation could be Military Transport (class 3) given the desert setting, but there are no clear military-specific cues such as cargo ramps, AWACS domes, or military markings visible at this resolution, so the civil classification is preferred. Both aircraft are fully visible with minimal clipping, supporting high confidence in the count and classification.","$0.1478","16049","512","512","completed","```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.32,         ""y_center"": 0.30,         ""width"": 0.42,         ""height"": 0.38       },       ""estimated_longest_dimension_px"": 230,       ""estimated_length_m"": 69,       ""engine_count_observation"": 4,       ""wing_shape_observation"": ""Swept wings, wide-body proportions"",       ""transport_size_bucket"": ""large""     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.68,         ""y_center"": 0.62,         ""width"": 0.42,         ""height"": 0.40       },       ""estimated_longest_dimension_px"": 225,       ""estimated_length_m"": 68,       ""engine_count_observation"": 4,       ""wing_shape_observation"": ""Swept wings, wide-body proportions"",       ""transport_size_bucket"": ""large""     }   ],   ""count"": 2,   ""countConfidence"": 0.95,   ""decision_rationale"": ""Two large aircraft are clearly visible parked on a desert apron, oriented roughly nose-to-tail in opposite directions. Both exhibit four-engine configurations with swept wings and wide-body fuselage proportions, each measuring approximately 220-230 px in longest dimension, consistent with ~65-70 m aircraft at 0.3 m/px GSD. The four-engine, wide-body morphology and large size are consistent with Large Civil Transport/Utility (class 2), such as Boeing 747 or similar wide-body types. An alternative interpretation could be Military Transport (class 3) given the desert setting, but there are no clear military-specific cues such as cargo ramps, AWACS domes, or military markings visible at this resolution, so the civil classification is preferred. Both aircraft are fully visible with minimal clipping, supporting high confidence in the count and classification."" } ```"
"60_1040010046430200_tile_337","60_1040010046430200_tile_337.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|large|210|63||High-wing, swept, four underwing engines;Military Transport/Utility/AWAC|large|210|63||High-wing, swept, four underwing engines","3|0.3000|0.6800|0.3000|0.4200|0.9500;3|0.6800|0.6600|0.3000|0.4200|0.9500","100.0%","100.0%","100.0%","97.0%","95.0%;95.0%","Two large four-engine military aircraft are parked on a military apron with circular taxi arcs and hardstand markings consistent with a USAF base. Both aircraft display high-wing planforms with four underwing podded engines, swept wings, and T-tail geometry strongly consistent with KC-135 Stratotanker or similar military tanker/transport types. Their estimated length of ~63 m and overall morphology match the Military Transport/Utility/AWAC class seen in the ontology support chip (Class 3). The dark gray paint scheme and military ramp context further support military classification. No additional aircraft are visible at the edges or elsewhere in the chip. The main uncertainty is distinguishing between KC-135 and similar airframes (e.g., E-8 JSTARS), but all fall within Class 3.","$0.1475","14167","512","512","completed","```json {   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.30,         ""y_center"": 0.68,         ""width"": 0.30,         ""height"": 0.42       },       ""estimated_longest_dimension_px"": 210,       ""estimated_length_m"": 63,       ""engine_count_observation"": 4,       ""wing_shape_observation"": ""High-wing, swept, four underwing engines"",       ""transport_size_bucket"": ""large""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.68,         ""y_center"": 0.66,         ""width"": 0.30,         ""height"": 0.42       },       ""estimated_longest_dimension_px"": 210,       ""estimated_length_m"": 63,       ""engine_count_observation"": 4,       ""wing_shape_observation"": ""High-wing, swept, four underwing engines"",       ""transport_size_bucket"": ""large""     }   ],   ""count"": 2,   ""countConfidence"": 0.97,   ""decision_rationale"": ""Two large four-engine military aircraft are parked on a military apron with circular taxi arcs and hardstand markings consistent with a USAF base. Both aircraft display high-wing planforms with four underwing podded engines, swept wings, and T-tail geometry strongly consistent with KC-135 Stratotanker or similar military tanker/transport types. Their estimated length of ~63 m and overall morphology match the Military Transport/Utility/AWAC class seen in the ontology support chip (Class 3). The dark gray paint scheme and military ramp context further support military classification. No additional aircraft are visible at the edges or elsewhere in the chip. The main uncertainty is distinguishing between KC-135 and similar airframes (e.g., E-8 JSTARS), but all fall within Class 3."" } ```"
"90_104001002C567600_tile_8","90_104001002C567600_tile_8.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility||30|9||straight high-wing planform","0|0.4450|0.1950|0.0600|0.0400|0.7200","100.0%","100.0%","0.0%","70.0%","72.0%","A single small aircraft is visible in the upper-center portion of the dark image, showing a bright fuselage with straight wings consistent with a small general aviation or utility aircraft. The longest dimension is approximately 30 px, corresponding to roughly 9 m at 0.30 m/px GSD, fitting the Small Civil Transport/Utility class. The image is very dark overall, making detection challenging; a few faint light spots elsewhere appear to be ground lights or artifacts rather than aircraft. The main uncertainty is whether the object is truly an aircraft or a ground vehicle, but the visible wing-like extensions on either side of the bright center support an aircraft identification. An alternative interpretation is that this could be a parked vehicle with reflective surfaces, which accounts for the moderate confidence.","$0.1317","10987","512","512","completed","```json {   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.72,       ""bbox"": {         ""x_center"": 0.445,         ""y_center"": 0.195,         ""width"": 0.06,         ""height"": 0.04       },       ""estimated_longest_dimension_px"": 30,       ""estimated_length_m"": 9,       ""wing_shape_observation"": ""straight high-wing planform""     }   ],   ""count"": 1,   ""countConfidence"": 0.7,   ""decision_rationale"": ""A single small aircraft is visible in the upper-center portion of the dark image, showing a bright fuselage with straight wings consistent with a small general aviation or utility aircraft. The longest dimension is approximately 30 px, corresponding to roughly 9 m at 0.30 m/px GSD, fitting the Small Civil Transport/Utility class. The image is very dark overall, making detection challenging; a few faint light spots elsewhere appear to be ground lights or artifacts rather than aircraft. The main uncertainty is whether the object is truly an aircraft or a ground vehicle, but the visible wing-like extensions on either side of the bright center support an aircraft identification. An alternative interpretation is that this could be a parked vehicle with reflective surfaces, which accounts for the moderate confidence."" } ```"
"59_104001002E3F7500_tile_876","59_104001002E3F7500_tile_876.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack||100|30||Straight wings with twin engines mounted under wings, consistent with A-10 or similar attack aircraft;Military Fighter/Interceptor/Attack||95|||Straight wings, twin-engine attack aircraft planform similar to the upper-left aircraft;Military Fighter/Interceptor/Attack|||||Partially visible aircraft at top-right edge, appears to be similar military type partially obscured by trees","4|0.1700|0.2200|0.2000|0.1800|0.8800;4|0.7200|0.7800|0.1800|0.2000|0.8000;4|0.9200|0.0600|0.1000|0.1000|0.5500","66.7%","0.0%","0.0%","72.0%","88.0%;80.0%;55.0%","The image shows a military apron with two clearly visible twin-engine attack aircraft (upper-left and lower-right) displaying straight-wing planforms with twin underwing engines, consistent with A-10 Thunderbolt II or similar attack aircraft. Their compact tactical airframes and military ramp setting support classification as Military Fighter/Interceptor/Attack. A third candidate is partially visible at the top-right edge, largely obscured by tree canopy, showing what appears to be a similar airframe but with low confidence due to heavy clipping. The main uncertainty is whether the top-right edge object is truly an aircraft or just a structure/artifact partially hidden by vegetation; an alternative interpretation would count only 2 aircraft. The two primary aircraft measure roughly 90-100 px in longest dimension, suggesting approximately 27-30 m length, consistent with attack aircraft dimensions.","$0.1555","15310","512","512","completed","```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.17,         ""y_center"": 0.22,         ""width"": 0.2,         ""height"": 0.18       },       ""estimated_longest_dimension_px"": 100,       ""estimated_length_m"": 30,       ""engine_count_observation"": 2,       ""wing_shape_observation"": ""Straight wings with twin engines mounted under wings, consistent with A-10 or similar attack aircraft""     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.8,       ""bbox"": {         ""x_center"": 0.72,         ""y_center"": 0.78,         ""width"": 0.18,         ""height"": 0.2       },       ""estimated_longest_dimension_px"": 95,       ""engine_count_observation"": 2,       ""wing_shape_observation"": ""Straight wings, twin-engine attack aircraft planform similar to the upper-left aircraft""     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.55,       ""bbox"": {         ""x_center"": 0.92,         ""y_center"": 0.06,         ""width"": 0.1,         ""height"": 0.1       },       ""wing_shape_observation"": ""Partially visible aircraft at top-right edge, appears to be similar military type partially obscured by trees""     }   ],   ""count"": 3,   ""countConfidence"": 0.72,   ""decision_rationale"": ""The image shows a military apron with two clearly visible twin-engine attack aircraft (upper-left and lower-right) displaying straight-wing planforms with twin underwing engines, consistent with A-10 Thunderbolt II or similar attack aircraft. Their compact tactical airframes and military ramp setting support classification as Military Fighter/Interceptor/Attack. A third candidate is partially visible at the top-right edge, largely obscured by tree canopy, showing what appears to be a similar airframe but with low confidence due to heavy clipping. The main uncertainty is whether the top-right edge object is truly an aircraft or just a structure/artifact partially hidden by vegetation; an alternative interpretation would count only 2 aircraft. The two primary aircraft measure roughly 90-100 px in longest dimension, suggesting approximately 27-30 m length, consistent with attack aircraft dimensions."" } ```"
"54_104001003D4C9C00_tile_273","54_104001003D4C9C00_tile_273.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","2","1;1","Medium Civil Transport/Utility;Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium|145|43||swept wings, narrow-body planform;Medium Civil Transport/Utility|medium|80|||swept wings, partially clipped at bottom-left edge","1|0.1700|0.6800|0.2200|0.3000|0.9000;1|0.0800|0.9200|0.1600|0.1600|0.7200","100.0%","0.0%","0.0%","85.0%","90.0%;72.0%","Two aircraft are visible in the target image. The primary aircraft in the left-center area is a clearly resolved narrow-body civil jet with swept wings, two underwing engines, and a fuselage spanning approximately 145 px (~43 m), consistent with a Medium Civil Transport such as a 737 or A320 class. A second aircraft is partially visible at the bottom-left corner, showing a swept wing and partial fuselage clipped by the image boundary; its visible structure and wing morphology are consistent with another medium narrow-body civil transport, though confidence is lower due to significant clipping. The rest of the scene shows apron ground equipment and taxiway markings but no additional aircraft. The main uncertainty is whether the clipped aircraft at the bottom-left could be a Large Civil Transport, but the visible wing proportions and fuselage width appear narrow-body, so Medium is preferred.","$0.1459","13605","512","512","completed","```json {   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.9,       ""bbox"": {         ""x_center"": 0.17,         ""y_center"": 0.68,         ""width"": 0.22,         ""height"": 0.30       },       ""estimated_longest_dimension_px"": 145,       ""estimated_length_m"": 43,       ""engine_count_observation"": 2,       ""wing_shape_observation"": ""swept wings, narrow-body planform"",       ""transport_size_bucket"": ""medium""     },     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.72,       ""bbox"": {         ""x_center"": 0.08,         ""y_center"": 0.92,         ""width"": 0.16,         ""height"": 0.16       },       ""estimated_longest_dimension_px"": 80,       ""wing_shape_observation"": ""swept wings, partially clipped at bottom-left edge"",       ""transport_size_bucket"": ""medium""     }   ],   ""count"": 2,   ""countConfidence"": 0.85,   ""decision_rationale"": ""Two aircraft are visible in the target image. The primary aircraft in the left-center area is a clearly resolved narrow-body civil jet with swept wings, two underwing engines, and a fuselage spanning approximately 145 px (~43 m), consistent with a Medium Civil Transport such as a 737 or A320 class. A second aircraft is partially visible at the bottom-left corner, showing a swept wing and partial fuselage clipped by the image boundary; its visible structure and wing morphology are consistent with another medium narrow-body civil transport, though confidence is lower due to significant clipping. The rest of the scene shows apron ground equipment and taxiway markings but no additional aircraft. The main uncertainty is whether the clipped aircraft at the bottom-left could be a Large Civil Transport, but the visible wing proportions and fuselage width appear narrow-body, so Medium is preferred."" } ```"
"55_1040010048841900_tile_308","55_1040010048841900_tile_308.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium|105|32||swept wings, twin underwing engines","1|0.7200|0.8200|0.2200|0.1800|0.8800","100.0%","0.0%","0.0%","93.0%","88.0%","A single aircraft is clearly visible in the lower-right quadrant of the image, parked on a reddish-brown apron. It displays a classic civil transport planform with swept wings, two underwing engines, and a T-tail or conventional tail configuration. The longest dimension measures approximately 100-110 px, corresponding to roughly 30-33 m at 0.30 m/px GSD, consistent with a medium narrow-body civil transport such as a regional jet or small airliner. No other aircraft are visible elsewhere in the chip; the remaining scene consists of buildings, trees, roads, and vehicles. The main uncertainty is whether this could be a small military transport, but the civil jet morphology (swept wings, underwing twin engines, narrow-body fuselage) strongly favors Medium Civil Transport. No additional clipped or partially visible aircraft were found along the edges.","$0.1355","17693","512","512","completed","```json {   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.72,         ""y_center"": 0.82,         ""width"": 0.22,         ""height"": 0.18       },       ""estimated_longest_dimension_px"": 105,       ""estimated_length_m"": 32,       ""engine_count_observation"": 2,       ""wing_shape_observation"": ""swept wings, twin underwing engines"",       ""transport_size_bucket"": ""medium""     }   ],   ""count"": 1,   ""countConfidence"": 0.93,   ""decision_rationale"": ""A single aircraft is clearly visible in the lower-right quadrant of the image, parked on a reddish-brown apron. It displays a classic civil transport planform with swept wings, two underwing engines, and a T-tail or conventional tail configuration. The longest dimension measures approximately 100-110 px, corresponding to roughly 30-33 m at 0.30 m/px GSD, consistent with a medium narrow-body civil transport such as a regional jet or small airliner. No other aircraft are visible elsewhere in the chip; the remaining scene consists of buildings, trees, roads, and vehicles. The main uncertainty is whether this could be a small military transport, but the civil jet morphology (swept wings, underwing twin engines, narrow-body fuselage) strongly favors Medium Civil Transport. No additional clipped or partially visible aircraft were found along the edges."" } ```"
"60_1040010046430200_tile_356","60_1040010046430200_tile_356.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|large|170|51||High-wing with swept planform, four underwing engines;Military Transport/Utility/AWAC|large||||Partial view of high-wing military transport, clipped at right edge","3|0.3200|0.6200|0.2800|0.3500|0.9200;3|0.9200|0.6500|0.1400|0.1800|0.7200","100.0%","100.0%","100.0%","85.0%","92.0%;72.0%","The central aircraft is a large four-engine, high-wing military transport consistent with a KC-135 or similar tanker/transport type, measuring approximately 170 px in longest dimension (~51 m), parked on a military-style apron with circular taxi arcs. Its four underwing engines, high-wing configuration, and T-tail or conventional tail geometry strongly support Military Transport/Utility/AWAC classification. A second aircraft is partially visible at the right edge of the chip, showing a wing and partial fuselage with similar high-wing military transport morphology; it is clipped so confidence is lower. The apron markings, yellow taxi arcs, and parking layout are consistent with a military base. The main uncertainty is whether the right-edge aircraft is a separate airframe or a ground vehicle/artifact, but the visible wing structure supports it being a second military transport. No civil or fighter aircraft are evident.","$0.1464","13930","512","512","completed","```json {   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.92,       ""bbox"": {         ""x_center"": 0.32,         ""y_center"": 0.62,         ""width"": 0.28,         ""height"": 0.35       },       ""estimated_longest_dimension_px"": 170,       ""estimated_length_m"": 51,       ""engine_count_observation"": 4,       ""wing_shape_observation"": ""High-wing with swept planform, four underwing engines"",       ""transport_size_bucket"": ""large""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.72,       ""bbox"": {         ""x_center"": 0.92,         ""y_center"": 0.65,         ""width"": 0.14,         ""height"": 0.18       },       ""wing_shape_observation"": ""Partial view of high-wing military transport, clipped at right edge"",       ""transport_size_bucket"": ""large""     }   ],   ""count"": 2,   ""countConfidence"": 0.85,   ""decision_rationale"": ""The central aircraft is a large four-engine, high-wing military transport consistent with a KC-135 or similar tanker/transport type, measuring approximately 170 px in longest dimension (~51 m), parked on a military-style apron with circular taxi arcs. Its four underwing engines, high-wing configuration, and T-tail or conventional tail geometry strongly support Military Transport/Utility/AWAC classification. A second aircraft is partially visible at the right edge of the chip, showing a wing and partial fuselage with similar high-wing military transport morphology; it is clipped so confidence is lower. The apron markings, yellow taxi arcs, and parking layout are consistent with a military base. The main uncertainty is whether the right-edge aircraft is a separate airframe or a ground vehicle/artifact, but the visible wing structure supports it being a second military transport. No civil or fighter aircraft are evident."" } ```"
"69_104005000CDBE200_tile_2612","69_104005000CDBE200_tile_2612.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","2","Large Civil Transport/Utility","Large Civil Transport/Utility|Large|230|69|4 engines visible under wings|Swept wings, wide-body planform","2|0.7200|0.6500|0.4500|0.5500|0.9200","100.0%","100.0%","100.0%","95.0%","92.0%","A single large aircraft is visible in the lower-right quadrant of the image, oriented roughly northwest with its nose toward the upper-left. The aircraft displays a wide-body fuselage with four underwing engines, swept wings, and a conventional tail — consistent with a large civil transport such as a Boeing 747 or Airbus A340. The longest visible dimension spans approximately 230 px, corresponding to roughly 69 m at 0.30 m/px GSD, firmly within the Large Civil Transport range. The tail and part of the right wing are clipped by the image edge, but the remaining structure clearly shows wide-body proportions and four-engine configuration, ruling out Medium Civil Transport. No other aircraft are visible in the scene; the rest of the image shows taxiway markings, apron pavement, and a grassy area. The main uncertainty is whether the aircraft could be a military tanker (e.g., KC-135), but the civil livery coloring and airport gate context strongly favor a civil classification.","$0.1384","15347","512","512","completed","```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.92,       ""bbox"": {         ""x_center"": 0.72,         ""y_center"": 0.65,         ""width"": 0.45,         ""height"": 0.55       },       ""estimated_longest_dimension_px"": 230,       ""estimated_length_m"": 69,       ""engine_count_observation"": ""4 engines visible under wings"",       ""wing_shape_observation"": ""Swept wings, wide-body planform"",       ""transport_size_bucket"": ""Large""     }   ],   ""count"": 1,   ""countConfidence"": 0.95,   ""decision_rationale"": ""A single large aircraft is visible in the lower-right quadrant of the image, oriented roughly northwest with its nose toward the upper-left. The aircraft displays a wide-body fuselage with four underwing engines, swept wings, and a conventional tail — consistent with a large civil transport such as a Boeing 747 or Airbus A340. The longest visible dimension spans approximately 230 px, corresponding to roughly 69 m at 0.30 m/px GSD, firmly within the Large Civil Transport range. The tail and part of the right wing are clipped by the image edge, but the remaining structure clearly shows wide-body proportions and four-engine configuration, ruling out Medium Civil Transport. No other aircraft are visible in the scene; the rest of the image shows taxiway markings, apron pavement, and a grassy area. The main uncertainty is whether the aircraft could be a military tanker (e.g., KC-135), but the civil livery coloring and airport gate context strongly favor a civil classification."" } ```"
"66_104001003BA94300_tile_70","66_104001003BA94300_tile_70.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility||38|11||High-wing, straight planform consistent with light GA aircraft","0|0.7200|0.0500|0.0800|0.0600|0.8500","100.0%","100.0%","100.0%","88.0%","85.0%","A single small aircraft is visible near the top-right of the image, parked on a paved area adjacent to a hangar/building. The aircraft displays a high-wing, straight-wing planform with a compact fuselage, consistent with a small general aviation or utility aircraft (class 0). Its longest dimension measures approximately 35-40 pixels, corresponding to roughly 10-12 meters at 0.3 m/px GSD, well within the Small Civil Transport/Utility range. No other aircraft are visible in the scene; the remaining features are a hangar building, trees, dirt terrain, and a fenced area. The main uncertainty is the partial clipping at the top edge, but enough of the airframe is visible to confirm it is a light propeller-driven aircraft. An alternative interpretation could be a parked vehicle, but the wing and tail structure clearly indicate a fixed-wing aircraft.","$0.1344","15083","512","512","completed","```json {   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.85,       ""bbox"": {         ""x_center"": 0.72,         ""y_center"": 0.05,         ""width"": 0.08,         ""height"": 0.06       },       ""estimated_longest_dimension_px"": 38,       ""estimated_length_m"": 11,       ""wing_shape_observation"": ""High-wing, straight planform consistent with light GA aircraft""     }   ],   ""count"": 1,   ""countConfidence"": 0.88,   ""decision_rationale"": ""A single small aircraft is visible near the top-right of the image, parked on a paved area adjacent to a hangar/building. The aircraft displays a high-wing, straight-wing planform with a compact fuselage, consistent with a small general aviation or utility aircraft (class 0). Its longest dimension measures approximately 35-40 pixels, corresponding to roughly 10-12 meters at 0.3 m/px GSD, well within the Small Civil Transport/Utility range. No other aircraft are visible in the scene; the remaining features are a hangar building, trees, dirt terrain, and a fenced area. The main uncertainty is the partial clipping at the top edge, but enough of the airframe is visible to confirm it is a light propeller-driven aircraft. An alternative interpretation could be a parked vehicle, but the wing and tail structure clearly indicate a fixed-wing aircraft."" } ```"
