"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"55_1040010048841900_tile_438","55_1040010048841900_tile_438.png","rareplanes_yolo_300_final","2","1;1","Medium Civil Transport/Utility;Medium Civil Transport/Utility","3","1;1;0","Medium Civil Transport/Utility;Medium Civil Transport/Utility;Small Civil Transport/Utility","Medium Civil Transport/Utility||85||2 underwing or rear-mounted engines likely|swept wings, T-tail or conventional tail visible;Medium Civil Transport/Utility||95||2 engines apparent|swept wings, civil jet planform;Small Civil Transport/Utility||35|||faint cross-shaped silhouette, possibly small aircraft or shadow artifact","1|0.8000|0.0800|0.1800|0.1400|0.8200;1|0.7400|0.2700|0.2200|0.1600|0.8000;0|0.8200|0.6200|0.0800|0.0600|0.4500","66.7%","66.7%","66.7%","60.0%","82.0%;80.0%;45.0%","Two clearly visible aircraft are parked on the apron to the right of the hangars/buildings. Both show swept-wing civil jet planforms with fuselage lengths in the ~85-95 px range, consistent with medium civil transports (narrow-body jets or regional jets) at 0.3 m/px GSD. The upper aircraft is partially clipped at the top-right edge but enough structure is visible to classify confidently. A third faint cross-shaped mark is visible on the ramp further south; it could be a small parked aircraft or a shadow/ground marking, hence the low confidence. The main uncertainty is whether that third candidate is a real aircraft or an artifact. An alternative interpretation would count only two aircraft. Scene context (hangars, apron, road with vehicles) supports an airport environment.","$0.1031","13820","512","512","completed","```json {   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.82,       ""bbox"": {         ""x_center"": 0.80,         ""y_center"": 0.08,         ""width"": 0.18,         ""height"": 0.14       },       ""estimated_longest_dimension_px"": 85,       ""wing_shape_observation"": ""swept wings, T-tail or conventional tail visible"",       ""engine_count_observation"": ""2 underwing or rear-mounted engines likely""     },     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.80,       ""bbox"": {         ""x_center"": 0.74,         ""y_center"": 0.27,         ""width"": 0.22,         ""height"": 0.16       },       ""estimated_longest_dimension_px"": 95,       ""wing_shape_observation"": ""swept wings, civil jet planform"",       ""engine_count_observation"": ""2 engines apparent""     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.45,       ""bbox"": {         ""x_center"": 0.82,         ""y_center"": 0.62,         ""width"": 0.08,         ""height"": 0.06       },       ""estimated_longest_dimension_px"": 35,       ""wing_shape_observation"": ""faint cross-shaped silhouette, possibly small aircraft or shadow artifact""     }   ],   ""count"": 3,   ""countConfidence"": 0.60,   ""decision_rationale"": ""Two clearly visible aircraft are parked on the apron to the right of the hangars/buildings. Both show swept-wing civil jet planforms with fuselage lengths in the ~85-95 px range, consistent with medium civil transports (narrow-body jets or regional jets) at 0.3 m/px GSD. The upper aircraft is partially clipped at the top-right edge but enough structure is visible to classify confidently. A third faint cross-shaped mark is visible on the ramp further south; it could be a small parked aircraft or a shadow/ground marking, hence the low confidence. The main uncertainty is whether that third candidate is a real aircraft or an artifact. An alternative interpretation would count only two aircraft. Scene context (hangars, apron, road with vehicles) supports an airport environment."" } ```"
"81_104001003AD0B700_tile_458","81_104001003AD0B700_tile_458.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack||80|24||delta or swept-wing planform","4|0.3900|0.5300|0.1800|0.1400|0.8800","100.0%","100.0%","0.0%","92.0%","88.0%","A single aircraft is visible on a grassy area adjacent to a road intersection, appearing to be a static display or gate guardian. The planform shows a distinctive delta/swept-wing shape consistent with a military fighter or interceptor, likely an F-4 Phantom or similar vintage tactical jet. The airframe is compact with a triangular wing planform and appears to be roughly 70-80 px long, consistent with a fighter-sized aircraft at this GSD. The surrounding scene includes roads with yellow markings and open fields, suggesting a memorial or museum display rather than an active airfield. No other aircraft are detected; the building to the upper left and dark objects near the road are structures/vehicles, not aircraft.","$0.0805","9304","512","512","completed","```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.39,         ""y_center"": 0.53,         ""width"": 0.18,         ""height"": 0.14       },       ""wing_shape_observation"": ""delta or swept-wing planform"",       ""estimated_longest_dimension_px"": 80,       ""estimated_length_m"": 24     }   ],   ""count"": 1,   ""countConfidence"": 0.92,   ""decision_rationale"": ""A single aircraft is visible on a grassy area adjacent to a road intersection, appearing to be a static display or gate guardian. The planform shows a distinctive delta/swept-wing shape consistent with a military fighter or interceptor, likely an F-4 Phantom or similar vintage tactical jet. The airframe is compact with a triangular wing planform and appears to be roughly 70-80 px long, consistent with a fighter-sized aircraft at this GSD. The surrounding scene includes roads with yellow markings and open fields, suggesting a memorial or museum display rather than an active airfield. No other aircraft are detected; the building to the upper left and dark objects near the road are structures/vehicles, not aircraft."" } ```"
"66_104001003BA94300_tile_70","66_104001003BA94300_tile_70.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility||40|12||High-wing, straight wing planform consistent with light general aviation aircraft","0|0.6700|0.0500|0.0800|0.0700|0.8500","100.0%","100.0%","0.0%","88.0%","85.0%","A single small aircraft is visible near the top-right of the image, parked on a paved apron adjacent to a hangar building. The aircraft displays a high-wing, straight-wing planform with a small fuselage, consistent with a light general aviation or utility aircraft approximately 10-14 m in length (~35-45 px at this GSD). No other aircraft are visible in the scene; the remaining features are a hangar, dirt terrain, trees, and vehicles. The main uncertainty is whether there could be another aircraft partially obscured behind or inside the hangar, but no visible evidence supports that. The most likely alternative interpretation for the detected object would be a parked vehicle, but the clear wing and tail structure confirm it as a small fixed-wing aircraft.","$0.0820","10790","512","512","completed","```json {   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.85,       ""bbox"": {         ""x_center"": 0.67,         ""y_center"": 0.05,         ""width"": 0.08,         ""height"": 0.07       },       ""estimated_longest_dimension_px"": 40,       ""estimated_length_m"": 12,       ""wing_shape_observation"": ""High-wing, straight wing planform consistent with light general aviation aircraft""     }   ],   ""count"": 1,   ""countConfidence"": 0.88,   ""decision_rationale"": ""A single small aircraft is visible near the top-right of the image, parked on a paved apron adjacent to a hangar building. The aircraft displays a high-wing, straight-wing planform with a small fuselage, consistent with a light general aviation or utility aircraft approximately 10-14 m in length (~35-45 px at this GSD). No other aircraft are visible in the scene; the remaining features are a hangar, dirt terrain, trees, and vehicles. The main uncertainty is whether there could be another aircraft partially obscured behind or inside the hangar, but no visible evidence supports that. The most likely alternative interpretation for the detected object would be a parked vehicle, but the clear wing and tail structure confirm it as a small fixed-wing aircraft."" } ```"
"59_104001002E3F7500_tile_1239","59_104001002E3F7500_tile_1239.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility||110|33|2 underwing engines likely|Swept wings, civil transport planform","1|0.4200|0.7800|0.2500|0.1800|0.7200","100.0%","0.0%","0.0%","92.0%","72.0%","A single aircraft is visible in the lower-center portion of the image, oriented roughly nose-down with swept wings and a white/light-colored fuselage. The airframe spans approximately 110 px in its longest dimension, corresponding to roughly 33 m at 0.30 m/px GSD, placing it in the Medium Civil Transport range. The swept-wing planform and apparent twin underwing engine configuration are consistent with a narrow-body commercial jet or regional transport. The aircraft appears to be parked or displayed on the ground near buildings and a parking area, possibly a static display or museum piece. No other aircraft candidates were identified after a full edge-to-edge scan. The main uncertainty is whether this is a functional aircraft or a static display, but classification is based on airframe morphology regardless. An alternative interpretation as a Small Civil Transport is unlikely given the swept-wing jet morphology and estimated length.","$0.0850","10703","512","512","completed","```json {   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.72,       ""bbox"": {         ""x_center"": 0.42,         ""y_center"": 0.78,         ""width"": 0.25,         ""height"": 0.18       },       ""estimated_longest_dimension_px"": 110,       ""estimated_length_m"": 33,       ""engine_count_observation"": ""2 underwing engines likely"",       ""wing_shape_observation"": ""Swept wings, civil transport planform""     }   ],   ""count"": 1,   ""countConfidence"": 0.92,   ""decision_rationale"": ""A single aircraft is visible in the lower-center portion of the image, oriented roughly nose-down with swept wings and a white/light-colored fuselage. The airframe spans approximately 110 px in its longest dimension, corresponding to roughly 33 m at 0.30 m/px GSD, placing it in the Medium Civil Transport range. The swept-wing planform and apparent twin underwing engine configuration are consistent with a narrow-body commercial jet or regional transport. The aircraft appears to be parked or displayed on the ground near buildings and a parking area, possibly a static display or museum piece. No other aircraft candidates were identified after a full edge-to-edge scan. The main uncertainty is whether this is a functional aircraft or a static display, but classification is based on airframe morphology regardless. An alternative interpretation as a Small Civil Transport is unlikely given the swept-wing jet morphology and estimated length."" } ```"
"59_104001002E3F7500_tile_930","59_104001002E3F7500_tile_930.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","3","Military Transport/Utility/AWAC","Military Transport/Utility/AWAC||85|25|2 engines, wing-mounted|High-wing, straight wing planform","3|0.8200|0.2200|0.1800|0.1800|0.7800","100.0%","100.0%","0.0%","92.0%","78.0%","A single aircraft is visible in the upper-right quadrant of the image, parked on a large concrete apron adjacent to what appears to be a military or mixed-use facility. The aircraft displays a high-wing, twin-engine configuration with straight wings and a relatively compact fuselage, consistent with a military transport or utility type such as a C-95 Bandeirante or similar light military transport. The estimated length of roughly 25 m and the high-wing straight-wing planform with twin turboprops strongly suggest a military transport/utility role rather than a civil airliner. The dark green/olive coloring further supports military use. The main uncertainty is whether this could be a small civil transport (class 0) given its modest size, but the military paint scheme and high-wing cargo-style morphology favor class 3. No other aircraft are visible after a full edge-to-edge scan; the buildings and vehicles in the lower-left are not aircraft.","$0.0864","10757","512","512","completed","```json {   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.78,       ""bbox"": {         ""x_center"": 0.82,         ""y_center"": 0.22,         ""width"": 0.18,         ""height"": 0.18       },       ""estimated_longest_dimension_px"": 85,       ""estimated_length_m"": 25,       ""engine_count_observation"": ""2 engines, wing-mounted"",       ""wing_shape_observation"": ""High-wing, straight wing planform""     }   ],   ""count"": 1,   ""countConfidence"": 0.92,   ""decision_rationale"": ""A single aircraft is visible in the upper-right quadrant of the image, parked on a large concrete apron adjacent to what appears to be a military or mixed-use facility. The aircraft displays a high-wing, twin-engine configuration with straight wings and a relatively compact fuselage, consistent with a military transport or utility type such as a C-95 Bandeirante or similar light military transport. The estimated length of roughly 25 m and the high-wing straight-wing planform with twin turboprops strongly suggest a military transport/utility role rather than a civil airliner. The dark green/olive coloring further supports military use. The main uncertainty is whether this could be a small civil transport (class 0) given its modest size, but the military paint scheme and high-wing cargo-style morphology favor class 3. No other aircraft are visible after a full edge-to-edge scan; the buildings and vehicles in the lower-left are not aircraft."" } ```"
"55_1040010048841900_tile_348","55_1040010048841900_tile_348.png","rareplanes_yolo_300_final","4","3;3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","3","3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC||130|39|4|High-wing, straight, four turboprop engines;Military Transport/Utility/AWAC||130|39|4|High-wing, straight, four turboprop engines;Military Transport/Utility/AWAC||80|||High-wing, partially clipped at left/bottom edge","3|0.3500|0.2200|0.2800|0.2200|0.8800;3|0.2200|0.5500|0.2800|0.2400|0.8800;3|0.0600|0.8200|0.1200|0.1800|0.7200","75.0%","75.0%","0.0%","88.0%","88.0%;88.0%;72.0%","Three aircraft are visible on an unpaved or semi-prepared surface, consistent with a military staging area. The two fully visible aircraft in the upper-left and center-left show classic four-engine turboprop, high-wing, straight-wing planforms with boxy fuselages, strongly consistent with military transport types such as the C-130 Hercules. Their measured pixel lengths (~130 px) correspond to roughly 39 m, aligning well with C-130 dimensions. A third aircraft of the same type is partially visible at the lower-left edge, clipped by the image boundary; its visible structure (high wing, similar fuselage proportions) supports the same classification at lower confidence. The main uncertainty is whether the third aircraft is a distinct airframe or a partial duplicate, but its spatial separation confirms it is separate. An alternative interpretation as medium civil transports is unlikely given the military-style parking arrangement, unpaved surface, and four-engine turboprop high-wing morphology characteristic of military cargo aircraft.","$0.1080","14425","512","512","completed","```json {   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.35,         ""y_center"": 0.22,         ""width"": 0.28,         ""height"": 0.22       },       ""estimated_longest_dimension_px"": 130,       ""estimated_length_m"": 39,       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""High-wing, straight, four turboprop engines""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.22,         ""y_center"": 0.55,         ""width"": 0.28,         ""height"": 0.24       },       ""estimated_longest_dimension_px"": 130,       ""estimated_length_m"": 39,       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""High-wing, straight, four turboprop engines""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.72,       ""bbox"": {         ""x_center"": 0.06,         ""y_center"": 0.82,         ""width"": 0.12,         ""height"": 0.18       },       ""estimated_longest_dimension_px"": 80,       ""wing_shape_observation"": ""High-wing, partially clipped at left/bottom edge""     }   ],   ""count"": 3,   ""countConfidence"": 0.88,   ""decision_rationale"": ""Three aircraft are visible on an unpaved or semi-prepared surface, consistent with a military staging area. The two fully visible aircraft in the upper-left and center-left show classic four-engine turboprop, high-wing, straight-wing planforms with boxy fuselages, strongly consistent with military transport types such as the C-130 Hercules. Their measured pixel lengths (~130 px) correspond to roughly 39 m, aligning well with C-130 dimensions. A third aircraft of the same type is partially visible at the lower-left edge, clipped by the image boundary; its visible structure (high wing, similar fuselage proportions) supports the same classification at lower confidence. The main uncertainty is whether the third aircraft is a distinct airframe or a partial duplicate, but its spatial separation confirms it is separate. An alternative interpretation as medium civil transports is unlikely given the military-style parking arrangement, unpaved surface, and four-engine turboprop high-wing morphology characteristic of military cargo aircraft."" } ```"
"55_1040010049CD5600_tile_347","55_1040010049CD5600_tile_347.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|large|210|63|4 engines visible under wings|Swept wings, wide-body proportions;Large Civil Transport/Utility|large|205|62|4 engines visible under wings|Swept wings, wide-body proportions","2|0.3300|0.3200|0.4200|0.3800|0.8800;2|0.6700|0.6200|0.4400|0.4000|0.8700","100.0%","0.0%","0.0%","95.0%","88.0%;87.0%","Two large aircraft are clearly visible parked on a desert apron, oriented roughly nose-to-nose. Both exhibit four underwing engines, swept wings, and wide-body fuselage proportions consistent with large civil transport aircraft (e.g., Boeing 747 or similar quad-engine wide-body). Each measures approximately 200-210 px in longest dimension, corresponding to roughly 60-63 m at 0.30 m/px GSD, well within the Large Civil Transport range. The desert setting and lack of military-specific features (no radar domes, cargo ramps, or military markings discernible) support civil classification. An alternative interpretation could be military tanker/transport (class 3), but no affirmative military cues such as boom, cargo ramp, or AWACS dome are visible, so the civil classification is preferred. Both aircraft are fully visible with no significant clipping.","$0.0985","11782","512","512","completed","```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.33,         ""y_center"": 0.32,         ""width"": 0.42,         ""height"": 0.38       },       ""estimated_longest_dimension_px"": 210,       ""estimated_length_m"": 63,       ""engine_count_observation"": ""4 engines visible under wings"",       ""wing_shape_observation"": ""Swept wings, wide-body proportions"",       ""transport_size_bucket"": ""large""     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.87,       ""bbox"": {         ""x_center"": 0.67,         ""y_center"": 0.62,         ""width"": 0.44,         ""height"": 0.40       },       ""estimated_longest_dimension_px"": 205,       ""estimated_length_m"": 62,       ""engine_count_observation"": ""4 engines visible under wings"",       ""wing_shape_observation"": ""Swept wings, wide-body proportions"",       ""transport_size_bucket"": ""large""     }   ],   ""count"": 2,   ""countConfidence"": 0.95,   ""decision_rationale"": ""Two large aircraft are clearly visible parked on a desert apron, oriented roughly nose-to-nose. Both exhibit four underwing engines, swept wings, and wide-body fuselage proportions consistent with large civil transport aircraft (e.g., Boeing 747 or similar quad-engine wide-body). Each measures approximately 200-210 px in longest dimension, corresponding to roughly 60-63 m at 0.30 m/px GSD, well within the Large Civil Transport range. The desert setting and lack of military-specific features (no radar domes, cargo ramps, or military markings discernible) support civil classification. An alternative interpretation could be military tanker/transport (class 3), but no affirmative military cues such as boom, cargo ramp, or AWACS dome are visible, so the civil classification is preferred. Both aircraft are fully visible with no significant clipping."" } ```"
"35_104005000ADCB500_tile_112","35_104005000ADCB500_tile_112.png","rareplanes_yolo_300_final","6","0;0;0;0;0;0","Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility","6","0;0;0;0;0;0","Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility","Small Civil Transport/Utility||45|||straight high-wing, propeller-driven;Small Civil Transport/Utility||45|||straight wing, light aircraft;Small Civil Transport/Utility||40|||straight wing, light aircraft;Small Civil Transport/Utility||38|||straight wing, small propeller aircraft;Small Civil Transport/Utility||35|||straight wing, small aircraft partially clipped at edge;Small Civil Transport/Utility||30|||small yellow/green aircraft, likely light propeller type","0|0.4200|0.1400|0.0900|0.1000|0.9000;0|0.6200|0.1000|0.1000|0.1000|0.9000;0|0.7400|0.0800|0.0900|0.0900|0.8800;0|0.8200|0.1300|0.0800|0.0900|0.8500;0|0.8800|0.0500|0.0800|0.0800|0.8500;0|0.5300|0.4200|0.0700|0.0700|0.8200","100.0%","100.0%","0.0%","80.0%","90.0%;90.0%;88.0%;85.0%;85.0%;82.0%","Six small aircraft are visible on the apron and ramp area adjacent to hangars. All show straight-wing, small-fuselage morphology consistent with light general aviation or utility propeller-driven aircraft, measuring roughly 30-45 px in longest dimension (~9-14 m), fitting the Small Civil Transport/Utility class. Four are clustered in the upper-right quadrant on a paved ramp, one is near the top-center next to a hangar, and one yellow/green aircraft sits on the apron mid-image. The main uncertainty is whether the upper-right edge contains an additional partially clipped aircraft; the count of 6 is conservative. No swept-wing, jet, or military morphology is observed. Scene context of a general aviation facility with hangars supports the small civil classification.","$0.1272","15882","512","512","completed","```json {   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.9,       ""bbox"": {         ""x_center"": 0.42,         ""y_center"": 0.14,         ""width"": 0.09,         ""height"": 0.1       },       ""estimated_longest_dimension_px"": 45,       ""wing_shape_observation"": ""straight high-wing, propeller-driven""     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.9,       ""bbox"": {         ""x_center"": 0.62,         ""y_center"": 0.1,         ""width"": 0.1,         ""height"": 0.1       },       ""estimated_longest_dimension_px"": 45,       ""wing_shape_observation"": ""straight wing, light aircraft""     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.88,       ""bbox"": {         ""x_center"": 0.74,         ""y_center"": 0.08,         ""width"": 0.09,         ""height"": 0.09       },       ""estimated_longest_dimension_px"": 40,       ""wing_shape_observation"": ""straight wing, light aircraft""     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.85,       ""bbox"": {         ""x_center"": 0.82,         ""y_center"": 0.13,         ""width"": 0.08,         ""height"": 0.09       },       ""estimated_longest_dimension_px"": 38,       ""wing_shape_observation"": ""straight wing, small propeller aircraft""     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.85,       ""bbox"": {         ""x_center"": 0.88,         ""y_center"": 0.05,         ""width"": 0.08,         ""height"": 0.08       },       ""estimated_longest_dimension_px"": 35,       ""wing_shape_observation"": ""straight wing, small aircraft partially clipped at edge""     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.82,       ""bbox"": {         ""x_center"": 0.53,         ""y_center"": 0.42,         ""width"": 0.07,         ""height"": 0.07       },       ""estimated_longest_dimension_px"": 30,       ""wing_shape_observation"": ""small yellow/green aircraft, likely light propeller type""     }   ],   ""count"": 6,   ""countConfidence"": 0.8,   ""decision_rationale"": ""Six small aircraft are visible on the apron and ramp area adjacent to hangars. All show straight-wing, small-fuselage morphology consistent with light general aviation or utility propeller-driven aircraft, measuring roughly 30-45 px in longest dimension (~9-14 m), fitting the Small Civil Transport/Utility class. Four are clustered in the upper-right quadrant on a paved ramp, one is near the top-center next to a hangar, and one yellow/green aircraft sits on the apron mid-image. The main uncertainty is whether the upper-right edge contains an additional partially clipped aircraft; the count of 6 is conservative. No swept-wing, jet, or military morphology is observed. Scene context of a general aviation facility with hangars supports the small civil classification."" } ```"
"114_104001000A497900_tile_140","114_104001000A497900_tile_140.png","rareplanes_yolo_300_final","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","6","4;4;0;0;0;0","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility","Military Fighter/Interceptor/Attack||80|24||delta wing planform;Military Fighter/Interceptor/Attack|||||swept wing, compact fighter silhouette;Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||","4|0.2700|0.3300|0.1800|0.1600|0.9200;4|0.5200|0.5200|0.0800|0.1000|0.8500;0|0.2800|0.6200|0.0500|0.0400|0.7200;0|0.2200|0.6200|0.0500|0.0400|0.7000;0|0.3400|0.6200|0.0500|0.0400|0.6800;0|0.4000|0.6200|0.0500|0.0400|0.6500","50.0%","33.3%","16.7%","62.0%","92.0%;85.0%;72.0%;70.0%;68.0%;65.0%","The scene shows a military-style facility with two prominent fighter/attack aircraft: a large delta-wing aircraft (likely an F-102 or B-58 type static display) on the grass near a triangular revetment area at upper-left, and a smaller swept-wing fighter on a pedestal or pad adjacent to the building at center-right. On the rooftop or apron area of the large building at lower-left, there appear to be several small light aircraft (roughly 15-25 px each), consistent with Small Civil Transport/Utility class given their tiny footprint and apparent propeller-driven general aviation morphology. The small aircraft on the building area are difficult to resolve clearly due to low contrast and partial occlusion, reducing confidence in their exact count. The main uncertainty is whether the small shapes on/near the building are actual aircraft or rooftop features; the most likely alternative interpretation would reduce the count to just the two military fighters.","$0.1193","15031","512","512","completed","```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.92,       ""bbox"": {         ""x_center"": 0.27,         ""y_center"": 0.33,         ""width"": 0.18,         ""height"": 0.16       },       ""wing_shape_observation"": ""delta wing planform"",       ""estimated_longest_dimension_px"": 80,       ""estimated_length_m"": 24     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.85,       ""bbox"": {         ""x_center"": 0.52,         ""y_center"": 0.52,         ""width"": 0.08,         ""height"": 0.1       },       ""wing_shape_observation"": ""swept wing, compact fighter silhouette""     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.72,       ""bbox"": {         ""x_center"": 0.28,         ""y_center"": 0.62,         ""width"": 0.05,         ""height"": 0.04       }     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.7,       ""bbox"": {         ""x_center"": 0.22,         ""y_center"": 0.62,         ""width"": 0.05,         ""height"": 0.04       }     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.68,       ""bbox"": {         ""x_center"": 0.34,         ""y_center"": 0.62,         ""width"": 0.05,         ""height"": 0.04       }     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.65,       ""bbox"": {         ""x_center"": 0.40,         ""y_center"": 0.62,         ""width"": 0.05,         ""height"": 0.04       }     }   ],   ""count"": 6,   ""countConfidence"": 0.62,   ""decision_rationale"": ""The scene shows a military-style facility with two prominent fighter/attack aircraft: a large delta-wing aircraft (likely an F-102 or B-58 type static display) on the grass near a triangular revetment area at upper-left, and a smaller swept-wing fighter on a pedestal or pad adjacent to the building at center-right. On the rooftop or apron area of the large building at lower-left, there appear to be several small light aircraft (roughly 15-25 px each), consistent with Small Civil Transport/Utility class given their tiny footprint and apparent propeller-driven general aviation morphology. The small aircraft on the building area are difficult to resolve clearly due to low contrast and partial occlusion, reducing confidence in their exact count. The main uncertainty is whether the small shapes on/near the building are actual aircraft or rooftop features; the most likely alternative interpretation would reduce the count to just the two military fighters."" } ```"
"18_1040050010DC4900_tile_3731","18_1040050010DC4900_tile_3731.png","rareplanes_yolo_300_final","1","1","Medium Civil Transport/Utility","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium-to-large narrow-body|175|52||Swept wings, underwing twin-engine configuration typical of narrow-body airliner","1|0.1800|0.7500|0.2800|0.4000|0.9200","100.0%","100.0%","100.0%","97.0%","92.0%","A single aircraft is clearly visible in the lower-left quadrant of the image, positioned on a taxiway curve. It displays a classic narrow-body airliner planform with swept wings, twin underwing engines, a conventional tail, and a white fuselage with airline livery markings. The measured longest dimension is approximately 175 px, corresponding to roughly 52 m, which places it at the upper end of Medium Civil Transport or lower end of Large Civil Transport. The fuselage proportions appear narrow-body rather than wide-body, so Medium Civil Transport (class 1) is the best fit, though a case could be made for Large Civil Transport given the length estimate approaches 55 m. No other aircraft are visible elsewhere in the image; the dark areas are grass/unpaved surfaces with no additional airframes. The tail is partially clipped at the bottom edge, slightly reducing measurement precision.","$0.0868","10068","512","512","completed","```json {   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.92,       ""bbox"": {         ""x_center"": 0.18,         ""y_center"": 0.75,         ""width"": 0.28,         ""height"": 0.40       },       ""estimated_longest_dimension_px"": 175,       ""estimated_length_m"": 52,       ""engine_count_observation"": 2,       ""wing_shape_observation"": ""Swept wings, underwing twin-engine configuration typical of narrow-body airliner"",       ""transport_size_bucket"": ""medium-to-large narrow-body""     }   ],   ""count"": 1,   ""countConfidence"": 0.97,   ""decision_rationale"": ""A single aircraft is clearly visible in the lower-left quadrant of the image, positioned on a taxiway curve. It displays a classic narrow-body airliner planform with swept wings, twin underwing engines, a conventional tail, and a white fuselage with airline livery markings. The measured longest dimension is approximately 175 px, corresponding to roughly 52 m, which places it at the upper end of Medium Civil Transport or lower end of Large Civil Transport. The fuselage proportions appear narrow-body rather than wide-body, so Medium Civil Transport (class 1) is the best fit, though a case could be made for Large Civil Transport given the length estimate approaches 55 m. No other aircraft are visible elsewhere in the image; the dark areas are grass/unpaved surfaces with no additional airframes. The tail is partially clipped at the bottom edge, slightly reducing measurement precision."" } ```"
