"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"37_104001000EA43C00_tile_231","37_104001000EA43C00_tile_231.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|||||","","100.0%","0.0%","","95.0%","85.0%","","$0.0225","5166","512","512","completed","```json {   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.85     }   ],   ""count"": 1,   ""countConfidence"": 0.95 } ```"
"47_104001001D2C7A00_tile_86","47_104001001D2C7A00_tile_86.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","2","0;0","Small Civil Transport/Utility;Small Civil Transport/Utility","Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||","","50.0%","0.0%","","55.0%","70.0%;55.0%","","$0.0377","7619","512","512","completed","I'll analyze the satellite image carefully, focusing on the right side where airport infrastructure is visible.  Looking at the right edge of the image, I can see: 1. An airport apron/ramp area with buildings and hangars 2. In the lower right area, there appears to be an aircraft parked near a building/hangar - it appears to be a medium-sized aircraft 3. In the upper right corner, there appears to be another aircraft on the apron area  Let me examine more closely: - Lower right: One aircraft visible near hangars, appears to be a small to medium civil aircraft - Upper right: What appears to be another small aircraft parked on the ramp  These appear to be small civil aircraft given the general aviation airport setting with small hangars.  ```json {   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.7     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.55     }   ],   ""count"": 2,   ""countConfidence"": 0.55 } ```"
"18_1040050010DC4900_tile_3040","18_1040050010DC4900_tile_3040.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","5","2;2;2;1;1","Large Civil Transport/Utility;Large Civil Transport/Utility;Large Civil Transport/Utility;Medium Civil Transport/Utility;Medium Civil Transport/Utility","Large Civil Transport/Utility|||||;Large Civil Transport/Utility|||||;Large Civil Transport/Utility|||||;Medium Civil Transport/Utility|||||;Medium Civil Transport/Utility|||||","","40.0%","40.0%","","85.0%","90.0%;88.0%;85.0%;80.0%;78.0%","","$0.0493","9747","512","512","completed","I'll analyze this satellite image of what appears to be a commercial airport terminal area with multiple aircraft parked at gates.  Let me identify each aircraft:  1. **Top-left aircraft**: A large commercial aircraft parked at a gate, appears to be a wide-body jet based on its size and wingspan.  2. **Top-center/right aircraft**: Another large commercial aircraft, appears to be a wide-body (possibly a 747 or similar large aircraft based on the distinctive shape).  3. **Center aircraft**: A large commercial aircraft at a gate, appears to be a wide-body jet with significant size.  4. **Bottom-right aircraft**: A medium to large commercial aircraft parked at a gate, appears slightly smaller than the others - likely a narrow-body aircraft.  5. **Bottom-center aircraft**: Another commercial aircraft at a gate, appears to be a medium-sized narrow-body aircraft.  All aircraft are at terminal gates with jet bridges connected, consistent with a major commercial airport.  ```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.9     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.88     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.85     },     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.8     },     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.78     }   ],   ""count"": 5,   ""countConfidence"": 0.85 } ```"
"52_1040010039815D00_tile_527","52_1040010039815D00_tile_527.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|||||","","100.0%","0.0%","","35.0%","40.0%","","$0.0225","4029","512","512","completed","```json {   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.4     }   ],   ""count"": 1,   ""countConfidence"": 0.35 } ```"
"118_10400100213D3100_tile_526","118_10400100213D3100_tile_526.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|||||","","100.0%","0.0%","","75.0%","70.0%","","$0.0318","7033","512","512","completed","I'll analyze this satellite image carefully for any aircraft.  Looking at the image, I can see what appears to be an airport or commercial area with parking lots, buildings, and roadways. In the upper-left area, I can spot what appears to be a small aircraft parked near a terminal or building structure.  Let me examine more closely:  1. There is one aircraft visible in the upper-left portion of the image, appearing to be parked at a gate or terminal area. It appears to be a small to medium-sized aircraft based on its proportions relative to the surrounding infrastructure.  ```json {   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.7     }   ],   ""count"": 1,   ""countConfidence"": 0.75 } ```"
"42_10400100055EA300_tile_1023","42_10400100055EA300_tile_1023.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","2","Large Civil Transport/Utility","Large Civil Transport/Utility|||||","","100.0%","100.0%","","95.0%","90.0%","","$0.0225","5440","512","512","completed","```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.9     }   ],   ""count"": 1,   ""countConfidence"": 0.95 } ```"
"127_104001002B3BB400_tile_711","127_104001002B3BB400_tile_711.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|||||","","100.0%","100.0%","","55.0%","60.0%","","$0.0320","7757","512","512","completed","I'll analyze this satellite image carefully for any aircraft.  The image shows what appears to be a commercial/industrial area with parking lots filled with cars, buildings, roads, and some green spaces. In the upper right portion of the image, there appears to be a dark aircraft-shaped object on what looks like a display area or small pad near a building - this could be a static display aircraft.  Looking more closely at the upper right area, there is what appears to be a single aircraft, likely a military jet on static display given its small size and positioning near what appears to be a building or museum area.  ```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.6     }   ],   ""count"": 1,   ""countConfidence"": 0.55 } ```"
"84_10400100290F5300_tile_264","84_10400100290F5300_tile_264.png","rareplanes_yolo_300_final","1","1","Medium Civil Transport/Utility","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|||||","","100.0%","100.0%","","97.0%","88.0%","","$0.0225","3798","512","512","completed","```json {   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.88     }   ],   ""count"": 1,   ""countConfidence"": 0.97 } ```"
"1_104005000FDC8D00_tile_13","1_104005000FDC8D00_tile_13.png","rareplanes_yolo_300_final","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","4","4;4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|||||;Military Fighter/Interceptor/Attack|||||;Military Fighter/Interceptor/Attack|||||;Military Fighter/Interceptor/Attack|||||","","75.0%","75.0%","","55.0%","70.0%;70.0%;65.0%;60.0%","","$0.0386","7286","512","512","completed","I'll analyze this satellite image carefully for any aircraft.  Looking at the image, I can see what appears to be agricultural fields with a dirt road running diagonally through the scene. In the bottom-right corner, I can spot what appear to be several small aircraft parked together.  Examining the bottom-right corner more closely, I can identify approximately 4 small aircraft that appear to be military fighter-type aircraft based on their swept-wing configurations and small size.  ```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.7     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.7     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.65     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.6     }   ],   ""count"": 4,   ""countConfidence"": 0.55 } ```"
"81_1040010032B86F00_tile_375","81_1040010032B86F00_tile_375.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|||||","","100.0%","100.0%","","92.0%","82.0%","","$0.0265","5552","512","512","completed","I can see what appears to be a military aircraft on static display near a road and parking area. The aircraft has a distinctive delta-wing/flying wing shape that resembles a stealth bomber or fighter aircraft, likely displayed as a monument or museum piece.  ```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.82     }   ],   ""count"": 1,   ""countConfidence"": 0.92 } ```"
