"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"69_104005000CDBE200_tile_3737","69_104005000CDBE200_tile_3737.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|Large|279||2|swept;Large Civil Transport/Utility|Large|294||2|swept","2|0.6540|0.5680|0.5450|0.3010|0.9800;2|0.6520|0.9080|0.5740|0.1840|0.9800","100.0%","100.0%","100.0%","99.0%","98.0%;98.0%","The image clearly displays two large twin-engine commercial airliners parked at terminal gates. Both aircraft exhibit long fuselages (exceeding 250 pixels in length), swept wings with under-wing engines, and standard airliner tail configurations. Their size relative to the jetways and ground equipment places them firmly in the Large Civil Transport category (Class 2), likely wide-body types such as the Boeing 777 or Airbus A350 given the wingtip shape and length. No military features are present. The bottom aircraft is partially clipped by the lower edge but its visible structure is identical in scale and type to the upper aircraft.","$0.0200","20109","512","512","completed","{   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.654,         ""y_center"": 0.568,         ""width"": 0.545,         ""height"": 0.301       },       ""estimated_longest_dimension_px"": 279,       ""engine_count_observation"": ""2"",       ""wing_shape_observation"": ""swept"",       ""transport_size_bucket"": ""Large""     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.652,         ""y_center"": 0.908,         ""width"": 0.574,         ""height"": 0.184       },       ""estimated_longest_dimension_px"": 294,       ""engine_count_observation"": ""2"",       ""wing_shape_observation"": ""swept"",       ""transport_size_bucket"": ""Large""     }   ],   ""count"": 2,   ""countConfidence"": 0.99,   ""decision_rationale"": ""The image clearly displays two large twin-engine commercial airliners parked at terminal gates. Both aircraft exhibit long fuselages (exceeding 250 pixels in length), swept wings with under-wing engines, and standard airliner tail configurations. Their size relative to the jetways and ground equipment places them firmly in the Large Civil Transport category (Class 2), likely wide-body types such as the Boeing 777 or Airbus A350 given the wingtip shape and length. No military features are present. The bottom aircraft is partially clipped by the lower edge but its visible structure is identical in scale and type to the upper aircraft."" }"
"55_1040010049CD5600_tile_347","55_1040010049CD5600_tile_347.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC||135||4|swept high-wing;Military Transport/Utility/AWAC||170||4|swept high-wing","3|0.3450|0.3390|0.1900|0.1900|0.9800;3|0.6050|0.5930|0.2660|0.2400|0.9800","100.0%","100.0%","100.0%","99.0%","98.0%;98.0%","The image contains two large, four-engine aircraft with a high-wing configuration and a T-tail empennage. This specific morphology—combined with visible fuselage-mounted landing gear fairings and a glazed nose station—strongly identifies them as heavy military transport aircraft (likely Ilyushin Il-76 variants) rather than civil airliners. Both aircraft are fully visible, allowing for high-confidence classification into the Military Transport/Utility/AWAC category based on structural cues.","$0.0555","41572","512","512","completed","```json {   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.345,         ""y_center"": 0.339,         ""width"": 0.19,         ""height"": 0.19       },       ""estimated_longest_dimension_px"": 135,       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""swept high-wing""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.605,         ""y_center"": 0.593,         ""width"": 0.266,         ""height"": 0.24       },       ""estimated_longest_dimension_px"": 170,       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""swept high-wing""     }   ],   ""count"": 2,   ""countConfidence"": 0.99,   ""decision_rationale"": ""The image contains two large, four-engine aircraft with a high-wing configuration and a T-tail empennage. This specific morphology—combined with visible fuselage-mounted landing gear fairings and a glazed nose station—strongly identifies them as heavy military transport aircraft (likely Ilyushin Il-76 variants) rather than civil airliners. Both aircraft are fully visible, allowing for high-confidence classification into the Military Transport/Utility/AWAC category based on structural cues."" } ```"
"60_1040010046430200_tile_337","60_1040010046430200_tile_337.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","3","3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC||150||4|swept;Military Transport/Utility/AWAC||150||4|swept;Military Transport/Utility/AWAC||45||2 visible|swept","3|0.3020|0.6260|0.2930|0.2680|0.9800;3|0.6900|0.6260|0.2930|0.2680|0.9800;3|0.9630|0.6310|0.0740|0.0860|0.9500","66.7%","66.7%","66.7%","98.0%","98.0%;98.0%;95.0%","The image contains three large multi-engine aircraft parked on a military apron. The two fully visible aircraft display distinct KC-135/C-135 morphology: four engines mounted on pylons under swept wings, a narrow fuselage relative to the wingspan, and a standard tail configuration. The third object is a partial aircraft on the right edge, showing the same nose, cockpit, and inner-wing engine structure as the others, confirming it as the same type. The four-engine configuration and specific airframe proportions strongly indicate a military transport/tanker role (Class 3) rather than a civil airliner, consistent with the 'USAF' markings visible on the wings.","$0.0214","12857","512","512","completed","{   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.302,         ""y_center"": 0.626,         ""width"": 0.293,         ""height"": 0.268       },       ""estimated_longest_dimension_px"": 150,       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""swept""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.69,         ""y_center"": 0.626,         ""width"": 0.293,         ""height"": 0.268       },       ""estimated_longest_dimension_px"": 150,       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""swept""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.963,         ""y_center"": 0.631,         ""width"": 0.074,         ""height"": 0.086       },       ""estimated_longest_dimension_px"": 45,       ""engine_count_observation"": ""2 visible"",       ""wing_shape_observation"": ""swept""     }   ],   ""count"": 3,   ""countConfidence"": 0.98,   ""decision_rationale"": ""The image contains three large multi-engine aircraft parked on a military apron. The two fully visible aircraft display distinct KC-135/C-135 morphology: four engines mounted on pylons under swept wings, a narrow fuselage relative to the wingspan, and a standard tail configuration. The third object is a partial aircraft on the right edge, showing the same nose, cockpit, and inner-wing engine structure as the others, confirming it as the same type. The four-engine configuration and specific airframe proportions strongly indicate a military transport/tanker role (Class 3) rather than a civil airliner, consistent with the 'USAF' markings visible on the wings."" }"
"90_104001002C567600_tile_8","90_104001002C567600_tile_8.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|Small|30|||","0|0.5160|0.1860|0.0570|0.0350|0.9500","100.0%","100.0%","100.0%","95.0%","95.0%","The image contains a single aircraft clearly visible due to its bright illumination against a very dark background, likely a runway or taxiway at night. The aircraft features a straight wing and small fuselage, with a wingspan of approximately 30 pixels. This size and morphology are consistent with a light general aviation aircraft, placing it firmly in the Small Civil Transport/Utility class. No other objects are visible in the darkness.","$0.0177","15046","512","512","completed","{   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.516,         ""y_center"": 0.186,         ""width"": 0.057,         ""height"": 0.035       },       ""estimated_longest_dimension_px"": 30,       ""transport_size_bucket"": ""Small""     }   ],   ""count"": 1,   ""countConfidence"": 0.95,   ""decision_rationale"": ""The image contains a single aircraft clearly visible due to its bright illumination against a very dark background, likely a runway or taxiway at night. The aircraft features a straight wing and small fuselage, with a wingspan of approximately 30 pixels. This size and morphology are consistent with a light general aviation aircraft, placing it firmly in the Small Civil Transport/Utility class. No other objects are visible in the darkness."" }"
"59_104001002E3F7500_tile_876","59_104001002E3F7500_tile_876.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|||||;Military Transport/Utility/AWAC|||||","3|0.1950|0.1800|0.1900|0.1600|0.9800;3|0.9000|0.7900|0.1800|0.1600|0.9800","100.0%","100.0%","100.0%","95.0%","98.0%;98.0%","Two active aircraft are clearly visible on the apron and taxiway. Both exhibit distinct military transport morphology, including high-mounted straight wings, four turboprop engines, and a boxy fuselage with a rear loading ramp profile, consistent with the C-130 Hercules platform. The dark camouflage paint scheme further supports the military classification. A third object in the top-right vegetation appears to be a fragmented and derelict fuselage (possibly a vintage transport nose and separated tail section); it was excluded from the count as it represents wreckage rather than an operational aircraft.","$0.0831","73830","512","512","completed","{   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.195,         ""y_center"": 0.18,         ""width"": 0.19,         ""height"": 0.16       }     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.9,         ""y_center"": 0.79,         ""width"": 0.18,         ""height"": 0.16       }     }   ],   ""count"": 2,   ""countConfidence"": 0.95,   ""decision_rationale"": ""Two active aircraft are clearly visible on the apron and taxiway. Both exhibit distinct military transport morphology, including high-mounted straight wings, four turboprop engines, and a boxy fuselage with a rear loading ramp profile, consistent with the C-130 Hercules platform. The dark camouflage paint scheme further supports the military classification. A third object in the top-right vegetation appears to be a fragmented and derelict fuselage (possibly a vintage transport nose and separated tail section); it was excluded from the count as it represents wreckage rather than an operational aircraft."" }"
"54_104001003D4C9C00_tile_273","54_104001003D4C9C00_tile_273.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","3","2;2;2","Large Civil Transport/Utility;Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|Large|200|||;Large Civil Transport/Utility|Large|200|||;Large Civil Transport/Utility|Large||||","2|0.1300|0.6500|0.2600|0.2800|0.9500;2|0.1700|0.9200|0.3300|0.1600|0.9500;2|0.9700|0.9500|0.0600|0.1000|0.6500","66.7%","66.7%","66.7%","90.0%","95.0%;95.0%;65.0%","Detected three aircraft or partial aircraft sections. Object 1 is a large twin-engine jet with a visible wingspan of approximately 145 pixels (~43.5m at 0.3m/px) and a fuselage width of ~18 pixels (~5.4m), which aligns closer to a wide-body (e.g., B767) than a standard narrow-body, supporting the Large Civil Transport (Class 2) classification. Object 2 shows a similar fuselage width and winglet configuration, with 'LAN' livery visible, also consistent with a large civil transport. Object 3 is a clipped tail section in the bottom right corner; its scale is consistent with the other large aircraft in the scene. The low light and significant clipping introduce some uncertainty, but the visible dimensions favor the Large category over Medium.","$0.1253","121958","512","512","completed","```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.13,         ""y_center"": 0.65,         ""width"": 0.26,         ""height"": 0.28       },       ""estimated_longest_dimension_px"": 200,       ""transport_size_bucket"": ""Large""     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.17,         ""y_center"": 0.92,         ""width"": 0.33,         ""height"": 0.16       },       ""estimated_longest_dimension_px"": 200,       ""transport_size_bucket"": ""Large""     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.65,       ""bbox"": {         ""x_center"": 0.97,         ""y_center"": 0.95,         ""width"": 0.06,         ""height"": 0.10       },       ""transport_size_bucket"": ""Large""     }   ],   ""count"": 3,   ""countConfidence"": 0.9,   ""decision_rationale"": ""Detected three aircraft or partial aircraft sections. Object 1 is a large twin-engine jet with a visible wingspan of approximately 145 pixels (~43.5m at 0.3m/px) and a fuselage width of ~18 pixels (~5.4m), which aligns closer to a wide-body (e.g., B767) than a standard narrow-body, supporting the Large Civil Transport (Class 2) classification. Object 2 shows a similar fuselage width and winglet configuration, with 'LAN' livery visible, also consistent with a large civil transport. Object 3 is a clipped tail section in the bottom right corner; its scale is consistent with the other large aircraft in the scene. The low light and significant clipping introduce some uncertainty, but the visible dimensions favor the Large category over Medium."" } ```"
"55_1040010048841900_tile_308","55_1040010048841900_tile_308.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility||95|28.5|2 (rear-mounted)|swept","1|0.7740|0.8840|0.1600|0.1600|0.9500","100.0%","0.0%","0.0%","95.0%","95.0%","One aircraft is visible on the apron in the bottom right. The airframe features a T-tail, rear-mounted engines, and swept wings, which are characteristic of a business jet or regional jet. The aircraft measures approximately 95 pixels in length, which corresponds to roughly 28.5 meters at 0.3m GSD. This size significantly exceeds the 18-meter upper limit for Small Civil Transport (Class 0) and fits well within the lower range of Medium Civil Transport (Class 1), consistent with types like a Gulfstream or Bombardier Global series. The clean white livery and lack of military hardpoints further support a civil classification.","$0.0515","46065","512","512","completed","{   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.774,         ""y_center"": 0.884,         ""width"": 0.16,         ""height"": 0.16       },       ""estimated_longest_dimension_px"": 95,       ""estimated_length_m"": 28.5,       ""engine_count_observation"": ""2 (rear-mounted)"",       ""wing_shape_observation"": ""swept""     }   ],   ""count"": 1,   ""countConfidence"": 0.95,   ""decision_rationale"": ""One aircraft is visible on the apron in the bottom right. The airframe features a T-tail, rear-mounted engines, and swept wings, which are characteristic of a business jet or regional jet. The aircraft measures approximately 95 pixels in length, which corresponds to roughly 28.5 meters at 0.3m GSD. This size significantly exceeds the 18-meter upper limit for Small Civil Transport (Class 0) and fits well within the lower range of Medium Civil Transport (Class 1), consistent with types like a Gulfstream or Bombardier Global series. The clean white livery and lack of military hardpoints further support a civil classification."" }"
"60_1040010046430200_tile_356","60_1040010046430200_tile_356.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","3","3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|||||;Military Transport/Utility/AWAC|||||;Military Transport/Utility/AWAC|||||","3|0.2750|0.6300|0.2500|0.4000|0.9500;3|0.0250|0.6300|0.0500|0.2000|0.8500;3|0.9750|0.6300|0.0500|0.1500|0.8500","66.7%","66.7%","66.7%","90.0%","95.0%;85.0%;85.0%","The image shows three large military transport aircraft aligned horizontally on an apron. The central aircraft is fully visible and exhibits the distinctive morphology of a C-141 Starlifter: four podded engines on pylons, swept wings, a long slender fuselage, and a T-tail (confirmed by the shadow showing the horizontal stabilizer atop the vertical fin). The aircraft is oriented facing left, evidenced by the wing sweep (tips to the right) and engine projection (forward to the left). To the left, the tail section of a similar aircraft is visible at the edge. To the right, the nose section of a third similar aircraft is visible at the edge. All three are classified as Military Transport/Utility/AWAC (Class 3) based on the clear C-141 features of the central example and the consistent parking alignment.","$0.1766","167346","512","512","completed","```json {   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.275,         ""y_center"": 0.63,         ""width"": 0.25,         ""height"": 0.4       }     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.85,       ""bbox"": {         ""x_center"": 0.025,         ""y_center"": 0.63,         ""width"": 0.05,         ""height"": 0.2       }     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.85,       ""bbox"": {         ""x_center"": 0.975,         ""y_center"": 0.63,         ""width"": 0.05,         ""height"": 0.15       }     }   ],   ""count"": 3,   ""countConfidence"": 0.9,   ""decision_rationale"": ""The image shows three large military transport aircraft aligned horizontally on an apron. The central aircraft is fully visible and exhibits the distinctive morphology of a C-141 Starlifter: four podded engines on pylons, swept wings, a long slender fuselage, and a T-tail (confirmed by the shadow showing the horizontal stabilizer atop the vertical fin). The aircraft is oriented facing left, evidenced by the wing sweep (tips to the right) and engine projection (forward to the left). To the left, the tail section of a similar aircraft is visible at the edge. To the right, the nose section of a third similar aircraft is visible at the edge. All three are classified as Military Transport/Utility/AWAC (Class 3) based on the clear C-141 features of the central example and the consistent parking alignment."" } ```"
"69_104005000CDBE200_tile_2612","69_104005000CDBE200_tile_2612.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","2","Large Civil Transport/Utility","Large Civil Transport/Utility|large|260||2|swept","2|0.7700|0.6800|0.4600|0.5200|0.9800","100.0%","100.0%","100.0%","98.0%","98.0%","The image contains a single large twin-engine commercial jet transport. The aircraft features a wide fuselage, significant wingspan with swept wings, and two underwing engines, consistent with a wide-body airliner like a Boeing 767 or Airbus A330. Its pixel dimensions (over 250px diagonally) place it firmly in the Large Civil Transport category. No other aircraft are visible.","$0.0179","19886","512","512","completed","{   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.77,         ""y_center"": 0.68,         ""width"": 0.46,         ""height"": 0.52       },       ""estimated_longest_dimension_px"": 260,       ""engine_count_observation"": ""2"",       ""wing_shape_observation"": ""swept"",       ""transport_size_bucket"": ""large""     }   ],   ""count"": 1,   ""countConfidence"": 0.98,   ""decision_rationale"": ""The image contains a single large twin-engine commercial jet transport. The aircraft features a wide fuselage, significant wingspan with swept wings, and two underwing engines, consistent with a wide-body airliner like a Boeing 767 or Airbus A330. Its pixel dimensions (over 250px diagonally) place it firmly in the Large Civil Transport category. No other aircraft are visible."" }"
"66_104001003BA94300_tile_70","66_104001003BA94300_tile_70.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|Small|40|||","0|0.7260|0.0710|0.0790|0.0520|0.9500","100.0%","100.0%","100.0%","95.0%","95.0%","The image contains a single aircraft parked on the northern apron. It features a straight-wing design with twin engines mounted on the wings or nacelles, a T-tail or cruciform tail configuration, and a small fuselage size (approx. 40 pixels in length). This morphology and scale are consistent with a light twin-engine utility or commuter aircraft, placing it firmly in the Small Civil Transport/Utility class. No other aircraft are visible in the scene.","$0.0181","14458","512","512","completed","{   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.726,         ""y_center"": 0.071,         ""width"": 0.079,         ""height"": 0.052       },       ""estimated_longest_dimension_px"": 40,       ""transport_size_bucket"": ""Small""     }   ],   ""count"": 1,   ""countConfidence"": 0.95,   ""decision_rationale"": ""The image contains a single aircraft parked on the northern apron. It features a straight-wing design with twin engines mounted on the wings or nacelles, a T-tail or cruciform tail configuration, and a small fuselage size (approx. 40 pixels in length). This morphology and scale are consistent with a light twin-engine utility or commuter aircraft, placing it firmly in the Small Civil Transport/Utility class. No other aircraft are visible in the scene."" }"
