"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"55_1040010048841900_tile_438","55_1040010048841900_tile_438.png","rareplanes_yolo_300_final","2","1;1","Medium Civil Transport/Utility;Medium Civil Transport/Utility","2","1;1","Medium Civil Transport/Utility;Medium Civil Transport/Utility","Medium Civil Transport/Utility|Medium (approx. 30-45m)|115||2 (Rear-mounted)|Swept;Medium Civil Transport/Utility|Medium (approx. 30-45m)|120||2 (Wing-mounted turboprop)|Straight, High-wing","1|0.7710|0.0580|0.1580|0.1150|0.9800;1|0.7730|0.2130|0.1520|0.1560|0.9800","100.0%","100.0%","100.0%","99.0%","98.0%;98.0%","Two aircraft are clearly visible on the apron. The northern aircraft exhibits a swept-wing, T-tail, and rear-engine configuration typical of a regional jet (e.g., CRJ or ERJ series). The southern aircraft displays a straight, high-aspect-ratio wing with engine nacelles and a T-tail, consistent with a regional turboprop (e.g., Dash-8 or ATR series). Both aircraft measure approximately 115-120 pixels in length, which at 0.3m/px corresponds to roughly 35 meters, placing them firmly in the Medium Civil Transport/Utility class. No military features or other aircraft are present.","$0.0265","30256","512","512","completed","{   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.98,       ""estimated_longest_dimension_px"": 115,       ""engine_count_observation"": ""2 (Rear-mounted)"",       ""wing_shape_observation"": ""Swept"",       ""transport_size_bucket"": ""Medium (approx. 30-45m)"",       ""bbox"": {         ""x_center"": 0.771,         ""y_center"": 0.058,         ""width"": 0.158,         ""height"": 0.115       }     },     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.98,       ""estimated_longest_dimension_px"": 120,       ""engine_count_observation"": ""2 (Wing-mounted turboprop)"",       ""wing_shape_observation"": ""Straight, High-wing"",       ""transport_size_bucket"": ""Medium (approx. 30-45m)"",       ""bbox"": {         ""x_center"": 0.773,         ""y_center"": 0.213,         ""width"": 0.152,         ""height"": 0.156       }     }   ],   ""count"": 2,   ""countConfidence"": 0.99,   ""decision_rationale"": ""Two aircraft are clearly visible on the apron. The northern aircraft exhibits a swept-wing, T-tail, and rear-engine configuration typical of a regional jet (e.g., CRJ or ERJ series). The southern aircraft displays a straight, high-aspect-ratio wing with engine nacelles and a T-tail, consistent with a regional turboprop (e.g., Dash-8 or ATR series). Both aircraft measure approximately 115-120 pixels in length, which at 0.3m/px corresponds to roughly 35 meters, placing them firmly in the Medium Civil Transport/Utility class. No military features or other aircraft are present."" }"
"81_104001003AD0B700_tile_458","81_104001003AD0B700_tile_458.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack||65|||delta wing","4|0.4130|0.5410|0.1260|0.0760|0.9500","100.0%","100.0%","100.0%","95.0%","95.0%","The image contains a single clear aircraft: a delta-wing military jet mounted on a static display pedestal. The morphology (delta wing, sharp nose, single tail) is unambiguous for a fighter/interceptor type. A helicopter shadow is visible in the lower right, but the aircraft casting it is not within the frame or is not resolved, so it is excluded from the count.","$0.0098","15354","512","512","completed","{   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.413,         ""y_center"": 0.541,         ""width"": 0.126,         ""height"": 0.076       },       ""estimated_longest_dimension_px"": 65,       ""wing_shape_observation"": ""delta wing"",       ""decision_rationale"": ""The object is a static display aircraft with a distinct delta-wing planform, sharp nose, and single vertical stabilizer, consistent with a legacy interceptor (likely an F-102 or F-106 type). Its size (~65px length) and placement on a grassy pedestal near a road confirm it is a static display rather than an operational aircraft, but its morphology clearly places it in the Military Fighter/Interceptor class.""     }   ],   ""count"": 1,   ""countConfidence"": 0.95,   ""decision_rationale"": ""The image contains a single clear aircraft: a delta-wing military jet mounted on a static display pedestal. The morphology (delta wing, sharp nose, single tail) is unambiguous for a fighter/interceptor type. A helicopter shadow is visible in the lower right, but the aircraft casting it is not within the frame or is not resolved, so it is excluded from the count."" }"
"66_104001003BA94300_tile_70","66_104001003BA94300_tile_70.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|Small|45||2|straight","0|0.7260|0.0680|0.0810|0.0550|0.9500","100.0%","100.0%","100.0%","95.0%","95.0%","The image contains a single aircraft parked on the northern apron. It is a twin-engine propeller aircraft with straight wings and a T-tail configuration, measuring approximately 45 pixels in length. This size and morphology are consistent with a Small Civil Transport/Utility aircraft, likely a King Air or similar utility turboprop. No other aircraft are visible in the scene; the rest of the image consists of a large hangar, desert terrain, and paved surfaces.","$0.0091","16949","512","512","completed","{   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.726,         ""y_center"": 0.068,         ""width"": 0.081,         ""height"": 0.055       },       ""estimated_longest_dimension_px"": 45,       ""engine_count_observation"": ""2"",       ""wing_shape_observation"": ""straight"",       ""transport_size_bucket"": ""Small""     }   ],   ""count"": 1,   ""countConfidence"": 0.95,   ""decision_rationale"": ""The image contains a single aircraft parked on the northern apron. It is a twin-engine propeller aircraft with straight wings and a T-tail configuration, measuring approximately 45 pixels in length. This size and morphology are consistent with a Small Civil Transport/Utility aircraft, likely a King Air or similar utility turboprop. No other aircraft are visible in the scene; the rest of the image consists of a large hangar, desert terrain, and paved surfaces."" }"
"59_104001002E3F7500_tile_1239","59_104001002E3F7500_tile_1239.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|||||","0|0.4310|0.8050|0.1070|0.1170|0.9500","100.0%","0.0%","0.0%","98.0%","95.0%","One aircraft detected in the lower-left quadrant, appearing to be a static display parked on a grassy lawn. The aircraft displays a twin-engine configuration with wing-mounted nacelles, straight tapered wings, and a conventional tail, morphologically resembling a vintage transport (e.g., DC-3/C-47) or a utility twin-prop. Its estimated length of approximately 15-20 meters aligns with the upper range of the Small Civil Transport/Utility class, distinguishing it from the larger Medium Civil class typically reserved for commercial jets.","$0.0609","70405","512","512","completed","{   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.431,         ""y_center"": 0.805,         ""width"": 0.107,         ""height"": 0.117       }     }   ],   ""count"": 1,   ""countConfidence"": 0.98,   ""decision_rationale"": ""One aircraft detected in the lower-left quadrant, appearing to be a static display parked on a grassy lawn. The aircraft displays a twin-engine configuration with wing-mounted nacelles, straight tapered wings, and a conventional tail, morphologically resembling a vintage transport (e.g., DC-3/C-47) or a utility twin-prop. Its estimated length of approximately 15-20 meters aligns with the upper range of the Small Civil Transport/Utility class, distinguishing it from the larger Medium Civil class typically reserved for commercial jets."" }"
"59_104001002E3F7500_tile_930","59_104001002E3F7500_tile_930.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","3","Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|Medium-Large|135||4 (likely)|straight, high-mounted","3|0.8890|0.3260|0.1380|0.1420|0.9600","100.0%","100.0%","100.0%","98.0%","96.0%","The image contains a single aircraft parked on the apron. It is identified as a Military Transport/Utility aircraft (Class 3) based on its distinct tactical airlifter morphology: a high-mounted straight wing, a stout fuselage, and a dark camouflage paint scheme. The size and proportions (roughly 135px wingspan, consistent with ~40m at 0.3m/px) strongly suggest a C-130 Hercules or similar multi-engine turboprop transport. No other aircraft are visible in the parking areas or near the buildings.","$0.0253","37028","512","512","completed","{   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.96,       ""bbox"": {         ""x_center"": 0.889,         ""y_center"": 0.326,         ""width"": 0.138,         ""height"": 0.142       },       ""estimated_longest_dimension_px"": 135,       ""engine_count_observation"": ""4 (likely)"",       ""wing_shape_observation"": ""straight, high-mounted"",       ""transport_size_bucket"": ""Medium-Large""     }   ],   ""count"": 1,   ""countConfidence"": 0.98,   ""decision_rationale"": ""The image contains a single aircraft parked on the apron. It is identified as a Military Transport/Utility aircraft (Class 3) based on its distinct tactical airlifter morphology: a high-mounted straight wing, a stout fuselage, and a dark camouflage paint scheme. The size and proportions (roughly 135px wingspan, consistent with ~40m at 0.3m/px) strongly suggest a C-130 Hercules or similar multi-engine turboprop transport. No other aircraft are visible in the parking areas or near the buildings."" }"
"55_1040010048841900_tile_348","55_1040010048841900_tile_348.png","rareplanes_yolo_300_final","4","3;3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","4","3;3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|Medium-Large|||4|Straight, high-wing;Military Transport/Utility/AWAC|Medium-Large|||4|Straight, high-wing;Military Transport/Utility/AWAC|Medium-Large|||4 (inferred)|Straight, high-wing;Military Transport/Utility/AWAC|Medium-Large|||4|Straight, high-wing","3|0.2580|0.3340|0.1910|0.1710|0.9500;3|0.2650|0.7690|0.1840|0.1650|0.9500;3|0.0360|0.4560|0.0730|0.1220|0.9000;3|0.0570|0.9120|0.1150|0.1550|0.9000","100.0%","100.0%","100.0%","98.0%","95.0%;95.0%;90.0%;90.0%","The image contains four aircraft with identical morphology: straight high-mounted wings, four turboprop engines, and a distinct fuselage shape consistent with the An-12 or Y-8 military transport family. The visible propellers, high-wing configuration, and overall proportions strongly indicate a military transport role rather than civil airliners. Two aircraft are fully visible, while two on the left edge are partially clipped but retain enough structure (wing placement, engine count) to confirm they are the same type. The dark, austere apron context further supports a military classification.","$0.0135","33644","512","512","completed","{   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.258,         ""y_center"": 0.334,         ""width"": 0.191,         ""height"": 0.171       },       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""Straight, high-wing"",       ""transport_size_bucket"": ""Medium-Large""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.265,         ""y_center"": 0.769,         ""width"": 0.184,         ""height"": 0.165       },       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""Straight, high-wing"",       ""transport_size_bucket"": ""Medium-Large""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.9,       ""bbox"": {         ""x_center"": 0.036,         ""y_center"": 0.456,         ""width"": 0.073,         ""height"": 0.122       },       ""engine_count_observation"": ""4 (inferred)"",       ""wing_shape_observation"": ""Straight, high-wing"",       ""transport_size_bucket"": ""Medium-Large""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.9,       ""bbox"": {         ""x_center"": 0.057,         ""y_center"": 0.912,         ""width"": 0.115,         ""height"": 0.155       },       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""Straight, high-wing"",       ""transport_size_bucket"": ""Medium-Large""     }   ],   ""count"": 4,   ""countConfidence"": 0.98,   ""decision_rationale"": ""The image contains four aircraft with identical morphology: straight high-mounted wings, four turboprop engines, and a distinct fuselage shape consistent with the An-12 or Y-8 military transport family. The visible propellers, high-wing configuration, and overall proportions strongly indicate a military transport role rather than civil airliners. Two aircraft are fully visible, while two on the left edge are partially clipped but retain enough structure (wing placement, engine count) to confirm they are the same type. The dark, austere apron context further supports a military classification."" }"
"55_1040010049CD5600_tile_347","55_1040010049CD5600_tile_347.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC||145|43.5|4|Swept, high-mounted;Military Transport/Utility/AWAC||150|45|4|Swept, high-mounted","3|0.3600|0.3300|0.2600|0.2400|0.9800;3|0.6200|0.6000|0.2800|0.2500|0.9800","100.0%","100.0%","100.0%","100.0%","98.0%;98.0%","Two large aircraft are clearly visible with high confidence. Both exhibit distinct military strategic transport morphology: high-mounted swept wings, T-tail empennage, four underwing engines, and a fuselage shape consistent with the Ilyushin Il-76 heavy airlifter. While these airframes can be used for civil cargo, their design features (ramp tail, high wing, glass nose) align strictly with the Military Transport/Utility class definition in the ontology, distinguishing them from standard civil wide-body transports. Visibility is excellent with no significant clipping or occlusion.","$0.0526","49336","512","512","completed","{   ""objects"": [     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.36,         ""y_center"": 0.33,         ""width"": 0.26,         ""height"": 0.24       },       ""estimated_longest_dimension_px"": 145,       ""estimated_length_m"": 43.5,       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""Swept, high-mounted""     },     {       ""class"": 3,       ""className"": ""Military Transport/Utility/AWAC"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.62,         ""y_center"": 0.60,         ""width"": 0.28,         ""height"": 0.25       },       ""estimated_longest_dimension_px"": 150,       ""estimated_length_m"": 45,       ""engine_count_observation"": ""4"",       ""wing_shape_observation"": ""Swept, high-mounted""     }   ],   ""count"": 2,   ""countConfidence"": 1.0,   ""decision_rationale"": ""Two large aircraft are clearly visible with high confidence. Both exhibit distinct military strategic transport morphology: high-mounted swept wings, T-tail empennage, four underwing engines, and a fuselage shape consistent with the Ilyushin Il-76 heavy airlifter. While these airframes can be used for civil cargo, their design features (ramp tail, high wing, glass nose) align strictly with the Military Transport/Utility class definition in the ontology, distinguishing them from standard civil wide-body transports. Visibility is excellent with no significant clipping or occlusion."" }"
"35_104005000ADCB500_tile_112","35_104005000ADCB500_tile_112.png","rareplanes_yolo_300_final","6","0;0;0;0;0;0","Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility","6","0;0;0;0;0;0","Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility","Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||;Small Civil Transport/Utility|||||","0|0.8010|0.1580|0.0760|0.0570|0.9800;0|0.8280|0.2210|0.0920|0.0740|0.9800;0|0.7850|0.2810|0.0780|0.0550|0.9700;0|0.8050|0.3220|0.0780|0.0550|0.9700;0|0.5530|0.2320|0.0940|0.0610|0.9800;0|0.6760|0.5490|0.0960|0.0640|0.9900","100.0%","100.0%","100.0%","95.0%","98.0%;98.0%;97.0%;97.0%;98.0%;99.0%","The image contains six clearly visible aircraft, all classified as Small Civil Transport/Utility based on their size (approx. 10-15m length) and general aviation morphology. Five are parked on the concrete apron, including one small T-tail business jet or twin-turboprop and four single-engine propeller aircraft. One yellow aircraft is parked on the grass. All candidates fit the Class 0 size priors (<18m) and context of a general aviation airfield. Minor edge clutter at the far right boundary was excluded as too partial to classify reliably.","$0.0439","42334","512","512","completed","{   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.801,         ""y_center"": 0.158,         ""width"": 0.076,         ""height"": 0.057       }     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.828,         ""y_center"": 0.221,         ""width"": 0.092,         ""height"": 0.074       }     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.97,       ""bbox"": {         ""x_center"": 0.785,         ""y_center"": 0.281,         ""width"": 0.078,         ""height"": 0.055       }     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.97,       ""bbox"": {         ""x_center"": 0.805,         ""y_center"": 0.322,         ""width"": 0.078,         ""height"": 0.055       }     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.553,         ""y_center"": 0.232,         ""width"": 0.094,         ""height"": 0.061       }     },     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.99,       ""bbox"": {         ""x_center"": 0.676,         ""y_center"": 0.549,         ""width"": 0.096,         ""height"": 0.064       }     }   ],   ""count"": 6,   ""countConfidence"": 0.95,   ""decision_rationale"": ""The image contains six clearly visible aircraft, all classified as Small Civil Transport/Utility based on their size (approx. 10-15m length) and general aviation morphology. Five are parked on the concrete apron, including one small T-tail business jet or twin-turboprop and four single-engine propeller aircraft. One yellow aircraft is parked on the grass. All candidates fit the Class 0 size priors (<18m) and context of a general aviation airfield. Minor edge clutter at the far right boundary was excluded as too partial to classify reliably."" }"
"114_104001000A497900_tile_140","114_104001000A497900_tile_140.png","rareplanes_yolo_300_final","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack||70|||delta;Military Fighter/Interceptor/Attack||110|||delta with chines;Military Fighter/Interceptor/Attack||65|||swept","4|0.1710|0.4120|0.1350|0.1350|0.9800;4|0.3260|0.3650|0.2150|0.2150|0.9900;4|0.6380|0.6020|0.1150|0.0950|0.9500","100.0%","100.0%","100.0%","98.0%","98.0%;99.0%;95.0%","The image contains three distinct aircraft displayed in a museum or static display context near a building. The first (top left) is a light-colored delta-wing fighter, consistent with an F-106 or similar interceptor. The second (center) is a large, dark, high-performance aircraft with a long fuselage and rear delta wings, unmistakably an SR-71 or A-12 variant; while large, its morphology is that of a strategic reconnaissance/interceptor platform rather than a transport, placing it in the Fighter/Interceptor/Attack class. The third (bottom right) is a swept-wing tactical aircraft, likely a fighter-bomber like an F-105. All three exhibit clear military combat morphology.","$0.0400","38744","512","512","completed","{   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.98,       ""bbox"": {         ""x_center"": 0.171,         ""y_center"": 0.412,         ""width"": 0.135,         ""height"": 0.135       },       ""estimated_longest_dimension_px"": 70,       ""wing_shape_observation"": ""delta""     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.99,       ""bbox"": {         ""x_center"": 0.326,         ""y_center"": 0.365,         ""width"": 0.215,         ""height"": 0.215       },       ""estimated_longest_dimension_px"": 110,       ""wing_shape_observation"": ""delta with chines""     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.638,         ""y_center"": 0.602,         ""width"": 0.115,         ""height"": 0.095       },       ""estimated_longest_dimension_px"": 65,       ""wing_shape_observation"": ""swept""     }   ],   ""count"": 3,   ""countConfidence"": 0.98,   ""decision_rationale"": ""The image contains three distinct aircraft displayed in a museum or static display context near a building. The first (top left) is a light-colored delta-wing fighter, consistent with an F-106 or similar interceptor. The second (center) is a large, dark, high-performance aircraft with a long fuselage and rear delta wings, unmistakably an SR-71 or A-12 variant; while large, its morphology is that of a strategic reconnaissance/interceptor platform rather than a transport, placing it in the Fighter/Interceptor/Attack class. The third (bottom right) is a swept-wing tactical aircraft, likely a fighter-bomber like an F-105. All three exhibit clear military combat morphology."" }"
"18_1040050010DC4900_tile_3731","18_1040050010DC4900_tile_3731.png","rareplanes_yolo_300_final","1","1","Medium Civil Transport/Utility","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|Medium|150||2|swept","1|0.1350|0.7200|0.2700|0.3000|0.9500","100.0%","100.0%","100.0%","98.0%","95.0%","The image contains a single aircraft on a taxiway. The aircraft features a swept-wing planform, twin under-wing engines, and a fuselage length consistent with a narrow-body airliner (e.g., A320 or B737 family). At approximately 0.3m/px, the visible length of roughly 150 pixels corresponds to about 45 meters, placing it firmly in the Medium Civil Transport category. There are no military markings or wide-body proportions to suggest a different classification.","$0.0094","25922","512","512","completed","{   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.95,       ""bbox"": {         ""x_center"": 0.135,         ""y_center"": 0.72,         ""width"": 0.27,         ""height"": 0.30       },       ""estimated_longest_dimension_px"": 150,       ""engine_count_observation"": ""2"",       ""wing_shape_observation"": ""swept"",       ""transport_size_bucket"": ""Medium""     }   ],   ""count"": 1,   ""countConfidence"": 0.98,   ""decision_rationale"": ""The image contains a single aircraft on a taxiway. The aircraft features a swept-wing planform, twin under-wing engines, and a fuselage length consistent with a narrow-body airliner (e.g., A320 or B737 family). At approximately 0.3m/px, the visible length of roughly 150 pixels corresponds to about 45 meters, placing it firmly in the Medium Civil Transport category. There are no military markings or wide-body proportions to suggest a different classification."" }"
