"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"37_104001000EA43C00_tile_231","37_104001000EA43C00_tile_231.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","2","Large Civil Transport/Utility","Large Civil Transport/Utility|||||","","100.0%","100.0%","","98.0%","95.0%","","$0.0067","7583","512","512","completed","Based on the analysis of the satellite image, here is the classification of the detected aircraft:  1.  **Aircraft 1:** Located in the bottom right quadrant of the image. This is a twin-engine jet airliner. It has a long fuselage, swept wings with engines mounted underneath, and a standard tail configuration. The size relative to the ground markings and service vehicles suggests it is a medium-to-large commercial passenger jet (likely an Airbus A320 or Boeing 737 family). Based on the provided ontology, this fits best into the ""Large Civil Transport/Utility"" category due to its commercial airliner configuration, although the ontology description for class 2 is oddly specific to military bombers (which seems like an error in the provided text descriptions vs names). However, based on the *name* ""Large Civil Transport/Utility"" and typical visual classification, this is the correct bucket for a standard airliner. If strictly following the *names* provided:     *   It is too large for ""Small Civil Transport"".     *   It could be ""Medium Civil Transport"" (regional jets), but looks more like a mainline jet.     *   ""Large Civil Transport"" is the most appropriate standard classification for a Boeing 737/Airbus A320 sized aircraft in this context.  ```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.95     }   ],   ""count"": 1,   ""countConfidence"": 0.98 } ```"
"47_104001001D2C7A00_tile_86","47_104001001D2C7A00_tile_86.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|||||","","100.0%","0.0%","","98.0%","92.0%","","$0.0059","12875","512","512","completed","Based on the analysis of the provided satellite image, here is the classification of the detected aircraft:  1.  **Scan the image:** The majority of the image is a dirt field. The right side contains paved areas, buildings, and vehicles. 2.  **Identify aircraft:** There is one distinct aircraft visible on the right edge of the image, parked on the tarmac near the bottom-right quadrant. 3.  **Classify the aircraft:**     *   **Object 1:** This aircraft has a T-tail configuration and rear-mounted engines. Its size relative to the nearby cars suggests it is a small-to-medium jet, likely a business jet or a small regional transport. It is not a large airliner (Class 2) nor a fighter jet (Class 4). Given the ontology, ""Small Civil Transport/Utility"" fits best for business jets and smaller general aviation aircraft of this type.  ```json {   ""objects"": [     {       ""class"": 0,       ""className"": ""Small Civil Transport/Utility"",       ""confidence"": 0.92     }   ],   ""count"": 1,   ""countConfidence"": 0.98 } ```"
"18_1040050010DC4900_tile_3040","18_1040050010DC4900_tile_3040.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|||||;Large Civil Transport/Utility|||||","","100.0%","100.0%","","99.0%","98.0%;98.0%","","$0.0064","12654","512","512","completed","Based on the provided satellite image, here is the analysis of the aircraft present:  **Image Analysis:** The image shows an airport terminal area with two commercial aircraft parked at gates.  1.  **Aircraft 1 (Left):** This is a large, twin-engine jetliner. It features a wide fuselage and significant wingspan, characteristic of wide-body aircraft like an Airbus A330 or similar. Given its size relative to the terminal infrastructure, it fits the ""Large Civil Transport/Utility"" category. 2.  **Aircraft 2 (Right):** This is another large, twin-engine jetliner, appearing slightly smaller or similar in size to the first one, likely a Boeing 767 or Airbus A330. It also has a wide-body configuration and is parked at an adjacent gate. It clearly falls into the ""Large Civil Transport/Utility"" category.  **Classification:** Both aircraft are large commercial passenger jets, which corresponds to Class ID 2 in the provided ontology.  ```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.98     },     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.98     }   ],   ""count"": 2,   ""countConfidence"": 0.99 } ```"
"52_1040010039815D00_tile_527","52_1040010039815D00_tile_527.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","","","","","","0.0%","0.0%","","98.0%","","","$0.0046","10190","512","512","completed","Based on the analysis of the provided satellite image, here are the results:  The image displays a snowy airfield environment. The vast majority of the image is covered in snow, with a runway visible in the bottom right corner. In the top right corner, there is a small cluster of objects that appear to be snow-covered equipment or possibly very small aircraft parts, but they do not resemble complete aircraft of any of the specified classes. There are no discernible airplanes visible in this frame.  ```json {   ""objects"": [],   ""count"": 0,   ""countConfidence"": 0.98 } ```"
"118_10400100213D3100_tile_526","118_10400100213D3100_tile_526.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|||||","","100.0%","0.0%","","95.0%","90.0%","","$0.0074","33057","512","512","completed","Based on the analysis of the provided satellite image, here is the classification of the detected aircraft:  1.  **Object 1:** Located on the left side of the image, near the edge of the parking structure, there is a single aircraft. It appears to be a static display or monument rather than an active aircraft on a runway, given its position on a small patch of grass next to a parking garage.     *   **Visual Characteristics:** It has swept wings and a T-tail configuration. The fuselage is relatively slender. It resembles a military jet trainer or a small fighter aircraft (like a T-33 Shooting Star or similar vintage jet).     *   **Classification:** Based on the provided ontology, this fits best under ""Military Fighter/Interceptor/Attack"" due to its military design characteristics (swept wing, likely jet engine intakes), even though it might be a trainer variant. The ontology description for Class 4 mentions ""training role"" and ""instruction capability"" in its description text (which seems to be a copy-paste error in the prompt's ontology description for Class 4, but the *name* is Fighter/Interceptor/Attack). However, looking at the *names* provided:         *   0: Small Civil Transport/Utility         *   1: Medium Civil Transport/Utility         *   2: Large Civil Transport/Utility         *   3: Military Transport/Utility/AWAC         *   4: Military Fighter/Interceptor/Attack     *   The aircraft is clearly military and small/agile in design, not a transport. Therefore, Class 4 is the correct classification.  ```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.90     }   ],   ""count"": 1,   ""countConfidence"": 0.95 } ```"
"42_10400100055EA300_tile_1023","42_10400100055EA300_tile_1023.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","2","Large Civil Transport/Utility","Large Civil Transport/Utility|||||","","100.0%","100.0%","","98.0%","95.0%","","$0.0042","9878","512","512","completed","Based on the analysis of the satellite image, here is the classification of the detected aircraft:  ```json {   ""objects"": [     {       ""class"": 2,       ""className"": ""Large Civil Transport/Utility"",       ""confidence"": 0.95     }   ],   ""count"": 1,   ""countConfidence"": 0.98 } ```"
"127_104001002B3BB400_tile_711","127_104001002B3BB400_tile_711.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|||||","","100.0%","100.0%","","98.0%","95.0%","","$0.0055","30045","512","512","completed","Based on the analysis of the provided satellite image, here is the classification of the detected aircraft.  The image primarily depicts a parking lot filled with automobiles and surrounding infrastructure. However, there is one distinct aircraft visible, mounted on a display stand or pedestal in a grassy area, likely as a static display or ""gate guard"" monument.  **Analysis:** 1.  **Object 1:** Located in the grassy area on the right side of the image (coordinates approx. mid-right). It has the distinct shape of a military fighter jet with swept wings and a pointed nose. Given its location on a pedestal in a landscaped area, it is a static display, but it clearly fits the visual profile of a military fighter aircraft.  ```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.95     }   ],   ""count"": 1,   ""countConfidence"": 0.98 } ```"
"84_10400100290F5300_tile_264","84_10400100290F5300_tile_264.png","rareplanes_yolo_300_final","1","1","Medium Civil Transport/Utility","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|||||","","100.0%","100.0%","","99.0%","95.0%","","$0.0054","8009","512","512","completed","Based on the analysis of the satellite image, here is the classification of the detected aircraft:  1.  **Aircraft 1:** Located in the lower-left quadrant of the image. This aircraft features a long, narrow fuselage, rear-mounted engines, and a T-tail configuration. These characteristics are typical of regional jets like the McDonnell Douglas MD-80/90 series or the Boeing 717. Given its size relative to the taxiway markings, it fits the ""Medium Civil Transport/Utility"" category better than ""Small"" (which would be business jets or small props) or ""Large"" (wide-body aircraft).  ```json {   ""objects"": [     {       ""class"": 1,       ""className"": ""Medium Civil Transport/Utility"",       ""confidence"": 0.95     }   ],   ""count"": 1,   ""countConfidence"": 0.99 } ```"
"1_104005000FDC8D00_tile_13","1_104005000FDC8D00_tile_13.png","rareplanes_yolo_300_final","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|||||;Military Fighter/Interceptor/Attack|||||;Military Fighter/Interceptor/Attack|||||","","100.0%","100.0%","","98.0%","95.0%;95.0%;95.0%","","$0.0069","10166","512","512","completed","Based on the analysis of the satellite image, here is the classification of the detected aircraft.  The image primarily shows fields and a road, but in the bottom right corner, there is a cluster of aircraft parked closely together. These aircraft have the distinct delta-wing shape and size characteristic of military fighter jets.  **Detailed Analysis:** 1.  **Bottom Right Corner:** There are three visible aircraft parked in a row. They feature swept-back wings or delta wings, a pointed nose, and a single vertical stabilizer, which are hallmarks of fighter/interceptor aircraft. They appear to be parked on a tarmac or hardstand area adjacent to the fields.  **Classification:** *   **Object 1:** Located at the far right of the row. Shape is consistent with a fighter jet. *   **Object 2:** Located in the middle of the row. Shape is consistent with a fighter jet. *   **Object 3:** Located at the left of the row. Shape is consistent with a fighter jet.  All three aircraft fit the description for Class ID 4: ""Military Fighter/Interceptor/Attack"".  ```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.95     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.95     },     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.95     }   ],   ""count"": 3,   ""countConfidence"": 0.98 } ```"
"81_1040010032B86F00_tile_375","81_1040010032B86F00_tile_375.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|||||","","100.0%","100.0%","","99.0%","98.0%","","$0.0056","17100","512","512","completed","Based on the analysis of the satellite image, here is the classification of the detected aircraft:  1.  **Object 1:** Located in the upper right quadrant of the image, sitting on a grassy area near a road.     *   **Visual Characteristics:** The aircraft has a distinct delta-wing configuration with a single vertical stabilizer. The shape is sharp and angular, characteristic of supersonic military jets. It appears to be a static display model, possibly a Convair F-102 Delta Dagger or F-106 Delta Dart, given the pure delta wing shape without canards or tailplanes.     *   **Classification:** This fits the ""Military Fighter/Interceptor/Attack"" category perfectly due to its combat-oriented design and delta-wing interceptor profile.  **JSON Output:**  ```json {   ""objects"": [     {       ""class"": 4,       ""className"": ""Military Fighter/Interceptor/Attack"",       ""confidence"": 0.98     }   ],   ""count"": 1,   ""countConfidence"": 0.99 } ```"
