"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"69_104005000CDBE200_tile_3737","69_104005000CDBE200_tile_3737.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|large|238|71.4|four underwing engines visible|large swept low wings with wide-body fuselage;Large Civil Transport/Utility|large|175|||clipped large swept low wings with wide-body fuselage segment","2|0.6640|0.6270|0.6720|0.5220|0.9800;2|0.6070|0.9560|0.6250|0.0880|0.7300","100.0%","100.0%","100.0%","93.0%","98.0%;73.0%","The target chip shows two civil wide-body jetliners at terminal gates: one fully visible aircraft with a long bulky fuselage, broad swept low wings, and four underwing engines, plus a second aircraft clipped along the bottom edge whose visible fuselage width and large swept wing geometry still indicate another large civil transport. Main uncertainty is the partial lower aircraft, which could be interpreted as a medium narrow-body if only the visible segment were considered, but the remaining bulk and wing scale favor Large; edge clipping lowers confidence for that second box.","$0.0110","25187","512","512","completed","{""objects"":[{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.98,""estimated_longest_dimension_px"":238,""estimated_length_m"":71.4,""engine_count_observation"":""four underwing engines visible"",""wing_shape_observation"":""large swept low wings with wide-body fuselage"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.664,""y_center"":0.627,""width"":0.672,""height"":0.522}},{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.73,""estimated_longest_dimension_px"":175,""wing_shape_observation"":""clipped large swept low wings with wide-body fuselage segment"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.607,""y_center"":0.956,""width"":0.625,""height"":0.088}}],""count"":2,""countConfidence"":0.93,""decision_rationale"":""The target chip shows two civil wide-body jetliners at terminal gates: one fully visible aircraft with a long bulky fuselage, broad swept low wings, and four underwing engines, plus a second aircraft clipped along the bottom edge whose visible fuselage width and large swept wing geometry still indicate another large civil transport. Main uncertainty is the partial lower aircraft, which could be interpreted as a medium narrow-body if only the visible segment were considered, but the remaining bulk and wing scale favor Large; edge clipping lowers confidence for that second box.""}"
"55_1040010049CD5600_tile_347","55_1040010049CD5600_tile_347.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|large|161|48.3|four engines visible under low-mounted swept wings|large swept wings with wide-body civil transport proportions;Large Civil Transport/Utility|large|156|46.8|four engines visible under low-mounted swept wings|large swept wings with wide-body civil transport proportions","2|0.3809|0.3320|0.3800|0.3400|0.9700;2|0.6621|0.5605|0.3670|0.3080|0.9800","100.0%","0.0%","0.0%","99.0%","97.0%;98.0%","The final chip contains two clearly visible large four-engine jet transports with bulky fuselages, wide swept low wings, and large tailplanes, all consistent with large civil transport/utility aircraft rather than fighters or military cargo types. Confidence is high because both airframes are fully visible and well separated; the main uncertainty is civil-versus-military support role, but there are no strong cargo-ramp, high-wing, or AWACS cues, so the most likely alternative would be Military Transport/Utility/AWAC at lower confidence. Low resolution and clipping are minimal here.","$0.0114","11459","512","512","completed","{""objects"":[{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.97,""estimated_longest_dimension_px"":161,""estimated_length_m"":48.3,""engine_count_observation"":""four engines visible under low-mounted swept wings"",""wing_shape_observation"":""large swept wings with wide-body civil transport proportions"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.3809,""y_center"":0.3320,""width"":0.3800,""height"":0.3400}},{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.98,""estimated_longest_dimension_px"":156,""estimated_length_m"":46.8,""engine_count_observation"":""four engines visible under low-mounted swept wings"",""wing_shape_observation"":""large swept wings with wide-body civil transport proportions"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.6621,""y_center"":0.5605,""width"":0.3670,""height"":0.3080}}],""count"":2,""countConfidence"":0.99,""decision_rationale"":""The final chip contains two clearly visible large four-engine jet transports with bulky fuselages, wide swept low wings, and large tailplanes, all consistent with large civil transport/utility aircraft rather than fighters or military cargo types. Confidence is high because both airframes are fully visible and well separated; the main uncertainty is civil-versus-military support role, but there are no strong cargo-ramp, high-wing, or AWACS cues, so the most likely alternative would be Military Transport/Utility/AWAC at lower confidence. Low resolution and clipping are minimal here.""}"
"60_1040010046430200_tile_337","60_1040010046430200_tile_337.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","3","3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|large military transport|171|51.3|four underwing engines visible|swept wings with large transport fuselage and conventional tail;Military Transport/Utility/AWAC|large military transport|169|50.7|four underwing engines visible|swept wings with large transport fuselage and conventional tail;Military Transport/Utility/AWAC|large military transport|||partial airframe at right edge, appears multi-engine transport|partial swept wing and bulky fuselage section visible","3|0.2950|0.6460|0.2820|0.3350|0.9700;3|0.6710|0.6350|0.2850|0.3320|0.9700;3|0.9790|0.6210|0.0420|0.2380|0.6800","66.7%","66.7%","66.7%","94.0%","97.0%;97.0%;68.0%","The final chip shows two clearly visible large military transport aircraft centered on the apron, each with bulky transport fuselage, swept wings, conventional tails, and four underwing engines, matching military utility/transport morphology rather than civil airliners or fighters. A third aircraft is clipped at the far right edge; the visible fuselage/wing section is consistent with another similar large transport, but edge truncation lowers confidence. Main uncertainty is the heavily cropped right-edge aircraft, whose most likely alternative interpretation is a large civil transport, though the apron pattern and matching geometry favor military transport.","$0.0123","9736","512","512","completed","{""objects"":[{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.97,""estimated_longest_dimension_px"":171,""estimated_length_m"":51.3,""engine_count_observation"":""four underwing engines visible"",""wing_shape_observation"":""swept wings with large transport fuselage and conventional tail"",""transport_size_bucket"":""large military transport"",""bbox"":{""x_center"":0.295,""y_center"":0.646,""width"":0.282,""height"":0.335}},{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.97,""estimated_longest_dimension_px"":169,""estimated_length_m"":50.7,""engine_count_observation"":""four underwing engines visible"",""wing_shape_observation"":""swept wings with large transport fuselage and conventional tail"",""transport_size_bucket"":""large military transport"",""bbox"":{""x_center"":0.671,""y_center"":0.635,""width"":0.285,""height"":0.332}},{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.68,""engine_count_observation"":""partial airframe at right edge, appears multi-engine transport"",""wing_shape_observation"":""partial swept wing and bulky fuselage section visible"",""transport_size_bucket"":""large military transport"",""bbox"":{""x_center"":0.979,""y_center"":0.621,""width"":0.042,""height"":0.238}}],""count"":3,""countConfidence"":0.94,""decision_rationale"":""The final chip shows two clearly visible large military transport aircraft centered on the apron, each with bulky transport fuselage, swept wings, conventional tails, and four underwing engines, matching military utility/transport morphology rather than civil airliners or fighters. A third aircraft is clipped at the far right edge; the visible fuselage/wing section is consistent with another similar large transport, but edge truncation lowers confidence. Main uncertainty is the heavily cropped right-edge aircraft, whose most likely alternative interpretation is a large civil transport, though the apron pattern and matching geometry favor military transport.""}"
"90_104001002C567600_tile_8","90_104001002C567600_tile_8.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|small|34|10.2||straight high-contrast wings on a compact light-aircraft planform","0|0.5205|0.1270|0.0720|0.0430|0.9700","100.0%","100.0%","0.0%","98.0%","97.0%","The final chip shows one clear aircraft near the upper center: a compact fixed-wing airframe with straight wings and small overall footprint, consistent with a light civil/utility aircraft rather than a jet transport or military type. Confidence is high because the object is isolated and distinct from the background; the main uncertainty is the dark scene and limited detail, but the most likely alternative would only be another small utility aircraft subtype within the same class. No meaningful crowding is present, and clipping affects only the lower image area, not the aircraft itself.","$0.0102","5759","512","512","completed","{""objects"":[{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.97,""estimated_longest_dimension_px"":34,""estimated_length_m"":10.2,""wing_shape_observation"":""straight high-contrast wings on a compact light-aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.5205,""y_center"":0.1270,""width"":0.0720,""height"":0.0430}}],""count"":1,""countConfidence"":0.98,""decision_rationale"":""The final chip shows one clear aircraft near the upper center: a compact fixed-wing airframe with straight wings and small overall footprint, consistent with a light civil/utility aircraft rather than a jet transport or military type. Confidence is high because the object is isolated and distinct from the background; the main uncertainty is the dark scene and limited detail, but the most likely alternative would only be another small utility aircraft subtype within the same class. No meaningful crowding is present, and clipping affects only the lower image area, not the aircraft itself.""}"
"59_104001002E3F7500_tile_876","59_104001002E3F7500_tile_876.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|medium-large transport|120||four engines visible, two per wing|high straight wing with boxy transport fuselage and conventional tail;Military Transport/Utility/AWAC|medium-large transport|125||four engines visible, two per wing|high straight wing with boxy transport fuselage and conventional tail","3|0.1380|0.1700|0.1850|0.1850|0.9700;3|0.9050|0.8750|0.1900|0.2050|0.9500","100.0%","100.0%","50.0%","98.0%","97.0%;95.0%","The final chip contains two clear aircraft, both showing strong military transport morphology: boxy fuselages, high-mounted straight wings, conventional tails, and four underwing engines, which supports Military Transport/Utility/AWAC rather than civil transport or fighter classes. Confidence is high because both airframes are distinct and well separated; the main uncertainty is only minor partial clipping of the lower-right aircraft near the image edge, but its transport geometry remains clear. The most likely alternative would be a civil utility transport, though the military cargo-style planform is more consistent.","$0.0113","9572","512","512","completed","{""objects"":[{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.97,""estimated_longest_dimension_px"":120,""engine_count_observation"":""four engines visible, two per wing"",""wing_shape_observation"":""high straight wing with boxy transport fuselage and conventional tail"",""transport_size_bucket"":""medium-large transport"",""bbox"":{""x_center"":0.138,""y_center"":0.170,""width"":0.185,""height"":0.185}},{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.95,""estimated_longest_dimension_px"":125,""engine_count_observation"":""four engines visible, two per wing"",""wing_shape_observation"":""high straight wing with boxy transport fuselage and conventional tail"",""transport_size_bucket"":""medium-large transport"",""bbox"":{""x_center"":0.905,""y_center"":0.875,""width"":0.190,""height"":0.205}}],""count"":2,""countConfidence"":0.98,""decision_rationale"":""The final chip contains two clear aircraft, both showing strong military transport morphology: boxy fuselages, high-mounted straight wings, conventional tails, and four underwing engines, which supports Military Transport/Utility/AWAC rather than civil transport or fighter classes. Confidence is high because both airframes are distinct and well separated; the main uncertainty is only minor partial clipping of the lower-right aircraft near the image edge, but its transport geometry remains clear. The most likely alternative would be a civil utility transport, though the military cargo-style planform is more consistent.""}"
"54_104001003D4C9C00_tile_273","54_104001003D4C9C00_tile_273.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","3","1;1;1","Medium Civil Transport/Utility;Medium Civil Transport/Utility;Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium-large civil jet morphology|174|52.2|twin-engine underwing jet visible|swept low wings with conventional tail;Medium Civil Transport/Utility|medium civil jet|118|35.4||partial swept-wing civil jet;Medium Civil Transport/Utility|medium civil jet (clipped lower bound)|62|18.6||partial swept-wing jet tail/nose section at edge","1|0.0980|0.8170|0.1960|0.3660|0.9500;1|0.1230|0.9620|0.1620|0.0760|0.7900;1|0.9680|0.9450|0.0640|0.1090|0.7200","66.7%","0.0%","0.0%","85.0%","95.0%;79.0%;72.0%","The final chip shows three distinct aircraft candidates: one mostly visible parked civil narrow-body/twin-engine jet along the left edge, a second partial civil jet at the lower left with similar swept-wing airliner geometry, and a third clipped jet fragment at the lower right edge. All three are best fit as Medium Civil Transport/Utility based on civil airliner planform and tail geometry; the main uncertainty is that two aircraft are heavily edge-cut, so their visible dimensions are only lower bounds and one partial could alternatively be interpreted as a small business jet, though the swept-wing transport morphology favors Medium. Low light and clipping reduce confidence, but crowding is limited and double-counting risk is low.","$0.0124","8281","512","512","completed","{""objects"":[{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.95,""estimated_longest_dimension_px"":174,""estimated_length_m"":52.2,""engine_count_observation"":""twin-engine underwing jet visible"",""wing_shape_observation"":""swept low wings with conventional tail"",""transport_size_bucket"":""medium-large civil jet morphology"",""bbox"":{""x_center"":0.098,""y_center"":0.817,""width"":0.196,""height"":0.366}},{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.79,""estimated_longest_dimension_px"":118,""estimated_length_m"":35.4,""wing_shape_observation"":""partial swept-wing civil jet"",""transport_size_bucket"":""medium civil jet"",""bbox"":{""x_center"":0.123,""y_center"":0.962,""width"":0.162,""height"":0.076}},{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.72,""estimated_longest_dimension_px"":62,""estimated_length_m"":18.6,""wing_shape_observation"":""partial swept-wing jet tail/nose section at edge"",""transport_size_bucket"":""medium civil jet (clipped lower bound)"",""bbox"":{""x_center"":0.968,""y_center"":0.945,""width"":0.064,""height"":0.109}}],""count"":3,""countConfidence"":0.85,""decision_rationale"":""The final chip shows three distinct aircraft candidates: one mostly visible parked civil narrow-body/twin-engine jet along the left edge, a second partial civil jet at the lower left with similar swept-wing airliner geometry, and a third clipped jet fragment at the lower right edge. All three are best fit as Medium Civil Transport/Utility based on civil airliner planform and tail geometry; the main uncertainty is that two aircraft are heavily edge-cut, so their visible dimensions are only lower bounds and one partial could alternatively be interpreted as a small business jet, though the swept-wing transport morphology favors Medium. Low light and clipping reduce confidence, but crowding is limited and double-counting risk is low.""}"
"55_1040010048841900_tile_308","55_1040010048841900_tile_308.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium|118|35.4||swept-wing civil jet/airliner planform with conventional tail","1|0.8604|0.8857|0.2285|0.1738|0.9300","100.0%","0.0%","0.0%","96.0%","93.0%","The final chip contains one clear aircraft at the lower-right apron: a single fixed-wing jet with a distinct fuselage, swept wings, and conventional tail, sized consistently with a medium civil transport rather than a small utility aircraft or large wide-body. The main uncertainty is mild clipping near the bottom/right image edge, but the remaining geometry still supports a medium civil jet; the most likely alternative would be a large civil transport, though the visible proportions look narrower and shorter than a wide-body. Low crowding and good contrast support a confident count of one.","$0.0105","5943","512","512","completed","{""objects"":[{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.93,""estimated_longest_dimension_px"":118,""estimated_length_m"":35.4,""wing_shape_observation"":""swept-wing civil jet/airliner planform with conventional tail"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":0.8604,""y_center"":0.8857,""width"":0.2285,""height"":0.1738}}],""count"":1,""countConfidence"":0.96,""decision_rationale"":""The final chip contains one clear aircraft at the lower-right apron: a single fixed-wing jet with a distinct fuselage, swept wings, and conventional tail, sized consistently with a medium civil transport rather than a small utility aircraft or large wide-body. The main uncertainty is mild clipping near the bottom/right image edge, but the remaining geometry still supports a medium civil jet; the most likely alternative would be a large civil transport, though the visible proportions look narrower and shorter than a wide-body. Low crowding and good contrast support a confident count of one."",""points"":[{""class_id"":1,""x"":0.8604,""y"":0.8857,""confidence"":0.93}]}"
"60_1040010046430200_tile_356","60_1040010046430200_tile_356.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","3","2;2;2","Large Civil Transport/Utility;Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|large|178|53.4|four engines visible under swept wings|low-mounted swept wings with wide-body transport planform;Large Civil Transport/Utility|large||||partial low-mounted swept wing and fuselage section at left edge;Large Civil Transport/Utility|large||||partial low-mounted swept wing and fuselage section at right edge","2|0.3190|0.6930|0.2750|0.3500|0.9500;2|0.0190|0.7580|0.0380|0.1220|0.7300;2|0.9740|0.7460|0.0520|0.1310|0.7200","66.7%","0.0%","0.0%","90.0%","95.0%;73.0%;72.0%","The scene shows one clearly visible wide-body airliner near the lower-left center with a bulky fuselage, swept low wings, and four underwing engines, supporting Large Civil Transport/Utility. Two additional aircraft are only edge-cut partials at the far left and right; each shows matching large-jet wing/fuselage geometry and scale, so they are counted as additional large civil transports rather than smaller jets. Main uncertainty comes from heavy clipping of the side aircraft, with Medium Civil Transport as the most likely alternative if their full airframes were substantially smaller than inferred.","$0.0118","10960","512","512","completed","{""objects"":[{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.95,""estimated_longest_dimension_px"":178,""estimated_length_m"":53.4,""engine_count_observation"":""four engines visible under swept wings"",""wing_shape_observation"":""low-mounted swept wings with wide-body transport planform"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.319,""y_center"":0.693,""width"":0.275,""height"":0.350}},{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.73,""wing_shape_observation"":""partial low-mounted swept wing and fuselage section at left edge"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.019,""y_center"":0.758,""width"":0.038,""height"":0.122}},{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.72,""wing_shape_observation"":""partial low-mounted swept wing and fuselage section at right edge"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.974,""y_center"":0.746,""width"":0.052,""height"":0.131}}],""count"":3,""countConfidence"":0.9,""decision_rationale"":""The scene shows one clearly visible wide-body airliner near the lower-left center with a bulky fuselage, swept low wings, and four underwing engines, supporting Large Civil Transport/Utility. Two additional aircraft are only edge-cut partials at the far left and right; each shows matching large-jet wing/fuselage geometry and scale, so they are counted as additional large civil transports rather than smaller jets. Main uncertainty comes from heavy clipping of the side aircraft, with Medium Civil Transport as the most likely alternative if their full airframes were substantially smaller than inferred.""}"
"69_104005000CDBE200_tile_2612","69_104005000CDBE200_tile_2612.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","2","Large Civil Transport/Utility","Large Civil Transport/Utility|large|255|76.5|4 engines visible under swept wings|large swept low-wing airliner planform with wide fuselage","2|0.7820|0.7920|0.4130|0.4160|0.9700","100.0%","100.0%","100.0%","99.0%","97.0%","The final chip contains one clearly visible large civil airliner parked on the apron: it has a long wide-body fuselage, swept low wings, a conventional tail, and four underwing engines, all consistent with a Large Civil Transport/Utility. No other aircraft are evident; the remaining dark elongated shapes appear to be aircraft shadow and apron markings rather than separate objects. Confidence is high, with only minor uncertainty from partial cropping near the lower-right edge and shadow overlap.","$0.0101","5317","512","512","completed","{""objects"":[{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.97,""estimated_longest_dimension_px"":255,""estimated_length_m"":76.5,""engine_count_observation"":""4 engines visible under swept wings"",""wing_shape_observation"":""large swept low-wing airliner planform with wide fuselage"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.782,""y_center"":0.792,""width"":0.413,""height"":0.416}}],""count"":1,""countConfidence"":0.99,""decision_rationale"":""The final chip contains one clearly visible large civil airliner parked on the apron: it has a long wide-body fuselage, swept low wings, a conventional tail, and four underwing engines, all consistent with a Large Civil Transport/Utility. No other aircraft are evident; the remaining dark elongated shapes appear to be aircraft shadow and apron markings rather than separate objects. Confidence is high, with only minor uncertainty from partial cropping near the lower-right edge and shadow overlap.""}"
"66_104001003BA94300_tile_70","66_104001003BA94300_tile_70.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|small|44|13.2||straight high-mounted wing with small utility aircraft planform","0|0.8240|0.0850|0.0930|0.0760|0.9600","100.0%","100.0%","0.0%","98.0%","96.0%","The final chip shows one clear fixed-wing aircraft parked at the top-right apron edge: a compact white airframe with straight wings, small fuselage, and light civil/utility proportions consistent with a small civil aircraft rather than a jet or military type. Confidence is high because the aircraft is fully visible and isolated; the main uncertainty is whether it is a very small commuter twin or general-aviation utility plane, but both map to Small Civil Transport/Utility. No significant crowding affects the count, though the aircraft sits near the image edge.","$0.0104","5879","512","512","completed","{""objects"":[{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.96,""estimated_longest_dimension_px"":44,""estimated_length_m"":13.2,""wing_shape_observation"":""straight high-mounted wing with small utility aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.824,""y_center"":0.085,""width"":0.093,""height"":0.076}}],""count"":1,""countConfidence"":0.98,""decision_rationale"":""The final chip shows one clear fixed-wing aircraft parked at the top-right apron edge: a compact white airframe with straight wings, small fuselage, and light civil/utility proportions consistent with a small civil aircraft rather than a jet or military type. Confidence is high because the aircraft is fully visible and isolated; the main uncertainty is whether it is a very small commuter twin or general-aviation utility plane, but both map to Small Civil Transport/Utility. No significant crowding affects the count, though the aircraft sits near the image edge."",""points"":[{""class_id"":0,""x"":0.824,""y"":0.085,""confidence"":0.96}]}"
