"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"55_1040010048841900_tile_438","55_1040010048841900_tile_438.png","rareplanes_yolo_300_final","2","1;1","Medium Civil Transport/Utility;Medium Civil Transport/Utility","2","0;1","Small Civil Transport/Utility;Medium Civil Transport/Utility","Small Civil Transport/Utility|small|58|17.4||straight low wing with compact commuter/utility planform;Medium Civil Transport/Utility|medium|90|27|twin engine impression under wing|straight to mildly swept high-aspect wing with narrow fuselage","0|0.8240|0.1680|0.1820|0.1210|0.8300;1|0.8220|0.2980|0.1650|0.1220|0.7800","100.0%","50.0%","0.0%","90.0%","83.0%;78.0%","Two parked fixed-wing aircraft are visible on the right apron. The upper aircraft is a compact civil utility/commuter-sized airframe with short fuselage and straight low wing, supporting Small Civil Transport/Utility. The lower aircraft is noticeably longer with a larger civil transport silhouette, consistent with a medium commuter or regional transport rather than a light plane. Main uncertainty comes from overhead resolution and shadow contrast, which limit precise engine and tail interpretation; the most likely alternative is that the lower aircraft could be a small civil transport if its true length is overestimated, but local geometry favors medium. No other clear aircraft are visible; roads, buildings, and shadows do not show aircraft morphology.","$0.0078","7654","512","512","completed","{""objects"":[{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.83,""estimated_longest_dimension_px"":58,""estimated_length_m"":17.4,""wing_shape_observation"":""straight low wing with compact commuter/utility planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.824,""y_center"":0.168,""width"":0.182,""height"":0.121}},{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.78,""estimated_longest_dimension_px"":90,""estimated_length_m"":27,""engine_count_observation"":""twin engine impression under wing"",""wing_shape_observation"":""straight to mildly swept high-aspect wing with narrow fuselage"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":0.822,""y_center"":0.298,""width"":0.165,""height"":0.122}}],""count"":2,""countConfidence"":0.9,""decision_rationale"":""Two parked fixed-wing aircraft are visible on the right apron. The upper aircraft is a compact civil utility/commuter-sized airframe with short fuselage and straight low wing, supporting Small Civil Transport/Utility. The lower aircraft is noticeably longer with a larger civil transport silhouette, consistent with a medium commuter or regional transport rather than a light plane. Main uncertainty comes from overhead resolution and shadow contrast, which limit precise engine and tail interpretation; the most likely alternative is that the lower aircraft could be a small civil transport if its true length is overestimated, but local geometry favors medium. No other clear aircraft are visible; roads, buildings, and shadows do not show aircraft morphology.""}"
"81_104001003AD0B700_tile_458","81_104001003AD0B700_tile_458.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|small|53|15.9||compact tailless or blended delta-like planform with sharply swept leading edges","4|0.4260|0.5890|0.1030|0.0800|0.9000","100.0%","100.0%","0.0%","93.0%","90.0%","The image shows one clear aircraft on the grass apron near the roadway: a compact, high-performance planform with strongly swept/delta-like wings and a pointed nose, consistent with a military fighter/attack aircraft rather than a civil transport. Its small footprint at this GSD supports a tactical jet class. Main uncertainty comes from low contrast and modest resolution, which limit tail and engine-detail confirmation; the most likely alternative is another small military fast-jet/trainer-type aircraft, but not a civil transport. No additional aircraft are convincingly visible after checking edges and apron clutter.","$0.0069","7228","512","512","completed","{""objects"":[{""class"":4,""className"":""Military Fighter/Interceptor/Attack"",""confidence"":0.9,""estimated_longest_dimension_px"":53,""estimated_length_m"":15.9,""wing_shape_observation"":""compact tailless or blended delta-like planform with sharply swept leading edges"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.426,""y_center"":0.589,""width"":0.103,""height"":0.080}}],""count"":1,""countConfidence"":0.93,""decision_rationale"":""The image shows one clear aircraft on the grass apron near the roadway: a compact, high-performance planform with strongly swept/delta-like wings and a pointed nose, consistent with a military fighter/attack aircraft rather than a civil transport. Its small footprint at this GSD supports a tactical jet class. Main uncertainty comes from low contrast and modest resolution, which limit tail and engine-detail confirmation; the most likely alternative is another small military fast-jet/trainer-type aircraft, but not a civil transport. No additional aircraft are convincingly visible after checking edges and apron clutter."",""points"":[{""class_id"":4,""x"":0.426,""y"":0.589,""confidence"":0.9}]}"
"66_104001003BA94300_tile_70","66_104001003BA94300_tile_70.png","rareplanes_yolo_300_final","1","0","Small Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|small|47|14.1||small straight-wing light aircraft planform with compact fuselage","0|0.7660|0.1200|0.0930|0.0800|0.9400","100.0%","100.0%","0.0%","97.0%","94.0%","The image contains one clearly visible fixed-wing aircraft near the top-right apron edge, showing a compact fuselage and straight-wing light-aircraft morphology consistent with a small civil utility/GA aircraft. Confidence is high because the airframe is distinct from nearby structures and vehicles, though the small size and proximity to the image edge/apron clutter introduce minor uncertainty. The most likely alternative interpretation is another small utility aircraft subtype rather than a medium transport; no additional aircraft are evident elsewhere in the chip.","$0.0064","4495","512","512","completed","{""objects"":[{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.94,""estimated_longest_dimension_px"":47,""estimated_length_m"":14.1,""wing_shape_observation"":""small straight-wing light aircraft planform with compact fuselage"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.766,""y_center"":0.120,""width"":0.093,""height"":0.080}}],""count"":1,""countConfidence"":0.97,""decision_rationale"":""The image contains one clearly visible fixed-wing aircraft near the top-right apron edge, showing a compact fuselage and straight-wing light-aircraft morphology consistent with a small civil utility/GA aircraft. Confidence is high because the airframe is distinct from nearby structures and vehicles, though the small size and proximity to the image edge/apron clutter introduce minor uncertainty. The most likely alternative interpretation is another small utility aircraft subtype rather than a medium transport; no additional aircraft are evident elsewhere in the chip."",""points"":[]}"
"59_104001002E3F7500_tile_1239","59_104001002E3F7500_tile_1239.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|small|65|19.5||compact low-wing fixed-wing aircraft with straight-to-moderately tapered wings and conventional tail; no clear military fighter geometry","0|0.4280|0.8230|0.1700|0.1450|0.8800","100.0%","0.0%","0.0%","93.0%","88.0%","The image shows one clearly discernible aircraft near the lower-center area, viewed obliquely from overhead with a compact fuselage, modest wingspan, and conventional tail consistent with a small civil transport/utility aircraft rather than a fighter or cargo platform. The main uncertainty comes from shadowing, oblique view, and moderate resolution, which slightly obscure exact wing and engine details; the most likely alternative is a medium civil transport, but the visible scale and compact proportions favor the small class. No other aircraft are clearly visible after checking edges and cluttered areas, and crowding did not materially affect the count.","$0.0068","5592","512","512","completed","{""objects"":[{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.88,""estimated_longest_dimension_px"":65,""estimated_length_m"":19.5,""wing_shape_observation"":""compact low-wing fixed-wing aircraft with straight-to-moderately tapered wings and conventional tail; no clear military fighter geometry"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.428,""y_center"":0.823,""width"":0.170,""height"":0.145}}],""count"":1,""countConfidence"":0.93,""decision_rationale"":""The image shows one clearly discernible aircraft near the lower-center area, viewed obliquely from overhead with a compact fuselage, modest wingspan, and conventional tail consistent with a small civil transport/utility aircraft rather than a fighter or cargo platform. The main uncertainty comes from shadowing, oblique view, and moderate resolution, which slightly obscure exact wing and engine details; the most likely alternative is a medium civil transport, but the visible scale and compact proportions favor the small class. No other aircraft are clearly visible after checking edges and cluttered areas, and crowding did not materially affect the count.""}"
"59_104001002E3F7500_tile_930","59_104001002E3F7500_tile_930.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","3","Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|medium|96|29|four engines visible, two under each wing|straight high-mounted wings with large transport tailplane and broad fuselage","3|0.8960|0.2630|0.1580|0.1570|0.9100","100.0%","100.0%","100.0%","96.0%","91.0%","The image contains one clearly visible aircraft on the upper-right apron, showing a broad fuselage, high straight wing, four-engine transport layout, and military cargo-type tail geometry, which supports Military Transport/Utility/AWAC rather than a civil transport or fighter. Main uncertainty is exact subtype because resolution is limited and the aircraft is somewhat small in-frame, but the most likely alternative is a large civil transport-like aircraft; local morphology strongly favors military transport. No other convincing aircraft are visible, and buildings, vehicles, and shadows were excluded.","$0.0067","4790","512","512","completed","{""objects"":[{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.91,""estimated_longest_dimension_px"":96,""estimated_length_m"":29,""engine_count_observation"":""four engines visible, two under each wing"",""wing_shape_observation"":""straight high-mounted wings with large transport tailplane and broad fuselage"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":0.896,""y_center"":0.263,""width"":0.158,""height"":0.157}}],""count"":1,""countConfidence"":0.96,""decision_rationale"":""The image contains one clearly visible aircraft on the upper-right apron, showing a broad fuselage, high straight wing, four-engine transport layout, and military cargo-type tail geometry, which supports Military Transport/Utility/AWAC rather than a civil transport or fighter. Main uncertainty is exact subtype because resolution is limited and the aircraft is somewhat small in-frame, but the most likely alternative is a large civil transport-like aircraft; local morphology strongly favors military transport. No other convincing aircraft are visible, and buildings, vehicles, and shadows were excluded.""}"
"55_1040010048841900_tile_348","55_1040010048841900_tile_348.png","rareplanes_yolo_300_final","4","3;3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","4","3;3;3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","Military Transport/Utility/AWAC|medium|144|43.2|four engines visible, wing-mounted|straight high-mounted wing with broad span; conventional tail;Military Transport/Utility/AWAC|medium|141|42.3|four engines visible, wing-mounted|straight high-mounted wing with broad span; conventional tail;Military Transport/Utility/AWAC|medium|||partial view suggests multi-engine transport|partial straight wing and fuselage consistent with transport;Military Transport/Utility/AWAC|medium|||partial view suggests multi-engine transport|partial straight wing and fuselage consistent with transport","3|0.2480|0.2700|0.2550|0.2100|0.9600;3|0.2310|0.7560|0.2620|0.2180|0.9500;3|0.0190|0.3810|0.0380|0.1870|0.7300;3|0.0470|0.9440|0.0950|0.1110|0.7100","100.0%","100.0%","75.0%","91.0%","96.0%;95.0%;73.0%;71.0%","The chip shows four aircraft-like objects, with two fully visible and two clipped at the left edge. The two complete airframes have clear large transport morphology: bulky fuselage, straight high-mounted wings, four wing-mounted engines, and conventional transport tails, supporting Military Transport/Utility/AWAC rather than civil jet or fighter classes. The two left-edge candidates are partial but match the same broad transport geometry and likely belong to the same aircraft type family; confidence is lower due to clipping and incomplete visibility. The main alternative interpretation would be large civil turboprop transports, but the high-wing multi-engine military-style transport silhouette is more consistent here.","$0.0095","7933","512","512","completed","{""objects"":[{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.96,""estimated_longest_dimension_px"":144,""estimated_length_m"":43.2,""engine_count_observation"":""four engines visible, wing-mounted"",""wing_shape_observation"":""straight high-mounted wing with broad span; conventional tail"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":0.248,""y_center"":0.270,""width"":0.255,""height"":0.210}},{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.95,""estimated_longest_dimension_px"":141,""estimated_length_m"":42.3,""engine_count_observation"":""four engines visible, wing-mounted"",""wing_shape_observation"":""straight high-mounted wing with broad span; conventional tail"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":0.231,""y_center"":0.756,""width"":0.262,""height"":0.218}},{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.73,""engine_count_observation"":""partial view suggests multi-engine transport"",""wing_shape_observation"":""partial straight wing and fuselage consistent with transport"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":0.019,""y_center"":0.381,""width"":0.038,""height"":0.187}},{""class"":3,""className"":""Military Transport/Utility/AWAC"",""confidence"":0.71,""engine_count_observation"":""partial view suggests multi-engine transport"",""wing_shape_observation"":""partial straight wing and fuselage consistent with transport"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":0.047,""y_center"":0.944,""width"":0.095,""height"":0.111}}],""count"":4,""countConfidence"":0.91,""decision_rationale"":""The chip shows four aircraft-like objects, with two fully visible and two clipped at the left edge. The two complete airframes have clear large transport morphology: bulky fuselage, straight high-mounted wings, four wing-mounted engines, and conventional transport tails, supporting Military Transport/Utility/AWAC rather than civil jet or fighter classes. The two left-edge candidates are partial but match the same broad transport geometry and likely belong to the same aircraft type family; confidence is lower due to clipping and incomplete visibility. The main alternative interpretation would be large civil turboprop transports, but the high-wing multi-engine military-style transport silhouette is more consistent here.""}"
"55_1040010049CD5600_tile_347","55_1040010049CD5600_tile_347.png","rareplanes_yolo_300_final","2","3;3","Military Transport/Utility/AWAC;Military Transport/Utility/AWAC","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|large|179|54|four underwing engines visible|low-mounted swept wings with wide-body fuselage and conventional tail;Large Civil Transport/Utility|large|179|54|four underwing engines visible|low-mounted swept wings with wide-body fuselage and conventional tail","2|0.3520|0.3670|0.4030|0.3380|0.9500;2|0.6220|0.5980|0.4080|0.3200|0.9600","100.0%","0.0%","0.0%","98.0%","95.0%;96.0%","Two large fixed-wing civil transports are clearly visible on the apron. Both show bulky wide-body fuselages, swept low wings, conventional tails, and four underwing engines, which strongly support the Large Civil Transport/Utility class rather than medium civil or military transport. Confidence is high because both aircraft are fully visible and well separated; the main uncertainty is specific subtype identification, with a large military tanker/transport as the most likely alternative interpretation, but no affirmative military-only cues are evident.","$0.0075","5576","512","512","completed","{""objects"":[{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.95,""estimated_longest_dimension_px"":179,""estimated_length_m"":54,""engine_count_observation"":""four underwing engines visible"",""wing_shape_observation"":""low-mounted swept wings with wide-body fuselage and conventional tail"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.352,""y_center"":0.367,""width"":0.403,""height"":0.338}},{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.96,""estimated_longest_dimension_px"":179,""estimated_length_m"":54,""engine_count_observation"":""four underwing engines visible"",""wing_shape_observation"":""low-mounted swept wings with wide-body fuselage and conventional tail"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":0.622,""y_center"":0.598,""width"":0.408,""height"":0.320}}],""count"":2,""countConfidence"":0.98,""decision_rationale"":""Two large fixed-wing civil transports are clearly visible on the apron. Both show bulky wide-body fuselages, swept low wings, conventional tails, and four underwing engines, which strongly support the Large Civil Transport/Utility class rather than medium civil or military transport. Confidence is high because both aircraft are fully visible and well separated; the main uncertainty is specific subtype identification, with a large military tanker/transport as the most likely alternative interpretation, but no affirmative military-only cues are evident.""}"
"35_104005000ADCB500_tile_112","35_104005000ADCB500_tile_112.png","rareplanes_yolo_300_final","6","0;0;0;0;0;0","Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility","7","0;0;0;0;0;0;0","Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility;Small Civil Transport/Utility","Small Civil Transport/Utility|small|32|9.6||small straight-wing light aircraft planform;Small Civil Transport/Utility|small|33|9.9||small straight-wing light aircraft planform;Small Civil Transport/Utility|small|40|12||small straight-wing light aircraft planform;Small Civil Transport/Utility|small|34|10.2||small straight-wing light aircraft planform;Small Civil Transport/Utility|small|36|10.8||small straight-wing light aircraft planform;Small Civil Transport/Utility|small|31|9.3||small straight-wing light aircraft planform;Small Civil Transport/Utility|small|39|11.7||small straight-wing light aircraft planform","0|0.5520|0.1870|0.0720|0.0520|0.9500;0|0.8270|0.1080|0.0670|0.0600|0.9500;0|0.8440|0.1820|0.0750|0.0800|0.9600;0|0.7970|0.2500|0.0650|0.0650|0.9500;0|0.8460|0.2560|0.0670|0.0680|0.9500;0|0.9850|0.0880|0.0300|0.0520|0.9300;0|0.6440|0.5450|0.0770|0.0750|0.9100","85.7%","85.7%","28.6%","94.0%","95.0%;95.0%;96.0%;95.0%;95.0%;93.0%;91.0%","Seven aircraft are visible, all consistent with small civil utility/light aircraft: compact fuselages, straight wings, and small footprints around roughly 30-40 px longest dimension at this GSD. The clearest cluster is on the right apron, with one additional aircraft near the upper center, one partially clipped at the far right edge, and one yellow small aircraft near the lower center. Main uncertainty is the edge-cut aircraft at the top-right and minor box imprecision from shadows and nearby buildings/vehicles, but no candidate shows the size or morphology of medium/large civil jets or military types.","$0.0116","9242","512","512","completed","{""objects"":[{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.95,""estimated_longest_dimension_px"":32,""estimated_length_m"":9.6,""wing_shape_observation"":""small straight-wing light aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.552,""y_center"":0.187,""width"":0.072,""height"":0.052}},{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.95,""estimated_longest_dimension_px"":33,""estimated_length_m"":9.9,""wing_shape_observation"":""small straight-wing light aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.827,""y_center"":0.108,""width"":0.067,""height"":0.060}},{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.96,""estimated_longest_dimension_px"":40,""estimated_length_m"":12,""wing_shape_observation"":""small straight-wing light aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.844,""y_center"":0.182,""width"":0.075,""height"":0.080}},{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.95,""estimated_longest_dimension_px"":34,""estimated_length_m"":10.2,""wing_shape_observation"":""small straight-wing light aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.797,""y_center"":0.250,""width"":0.065,""height"":0.065}},{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.95,""estimated_longest_dimension_px"":36,""estimated_length_m"":10.8,""wing_shape_observation"":""small straight-wing light aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.846,""y_center"":0.256,""width"":0.067,""height"":0.068}},{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.93,""estimated_longest_dimension_px"":31,""estimated_length_m"":9.3,""wing_shape_observation"":""small straight-wing light aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.985,""y_center"":0.088,""width"":0.030,""height"":0.052}},{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.91,""estimated_longest_dimension_px"":39,""estimated_length_m"":11.7,""wing_shape_observation"":""small straight-wing light aircraft planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":0.644,""y_center"":0.545,""width"":0.077,""height"":0.075}}],""count"":7,""countConfidence"":0.94,""decision_rationale"":""Seven aircraft are visible, all consistent with small civil utility/light aircraft: compact fuselages, straight wings, and small footprints around roughly 30-40 px longest dimension at this GSD. The clearest cluster is on the right apron, with one additional aircraft near the upper center, one partially clipped at the far right edge, and one yellow small aircraft near the lower center. Main uncertainty is the edge-cut aircraft at the top-right and minor box imprecision from shadows and nearby buildings/vehicles, but no candidate shows the size or morphology of medium/large civil jets or military types.""}"
"114_104001000A497900_tile_140","114_104001000A497900_tile_140.png","rareplanes_yolo_300_final","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|small|69|20.7||compact tactical jet with sharply swept delta-like wing planform;Military Fighter/Interceptor/Attack|medium|95|||dark stealth-like triangular flying-wing or highly swept blended planform;Military Fighter/Interceptor/Attack|small|61|18.3||compact swept-wing tactical jet planform","4|0.1420|0.3870|0.1320|0.1210|0.9500;4|0.2950|0.3340|0.1700|0.1450|0.8200;4|0.6750|0.7170|0.1170|0.1000|0.7800","100.0%","100.0%","66.7%","96.0%","95.0%;82.0%;78.0%","Three aircraft-shaped display objects are visible: one light-colored delta-wing fighter at left, one dark highly swept triangular stealth-like aircraft in the center display pad, and one compact swept-wing tactical jet near the building at lower right. The strongest evidence is their distinct aircraft planforms with fuselage and wing geometry clearly separable from vehicles and buildings. Main uncertainty is that these appear to be static display aircraft and the central triangular airframe could alternatively be interpreted as an unusual unmanned or experimental display type, but fighter/attack morphology is the best fit. Confidence is reduced slightly by dark tone and partial shadowing, not by major clipping or crowding.","$0.0084","7707","512","512","completed","{""objects"":[{""class"":4,""className"":""Military Fighter/Interceptor/Attack"",""confidence"":0.95,""bbox"":{""x_center"":0.142,""y_center"":0.387,""width"":0.132,""height"":0.121},""estimated_longest_dimension_px"":69,""estimated_length_m"":20.7,""wing_shape_observation"":""compact tactical jet with sharply swept delta-like wing planform"",""transport_size_bucket"":""small""},{""class"":4,""className"":""Military Fighter/Interceptor/Attack"",""confidence"":0.82,""bbox"":{""x_center"":0.295,""y_center"":0.334,""width"":0.170,""height"":0.145},""estimated_longest_dimension_px"":95,""wing_shape_observation"":""dark stealth-like triangular flying-wing or highly swept blended planform"",""transport_size_bucket"":""medium""},{""class"":4,""className"":""Military Fighter/Interceptor/Attack"",""confidence"":0.78,""bbox"":{""x_center"":0.675,""y_center"":0.717,""width"":0.117,""height"":0.100},""estimated_longest_dimension_px"":61,""estimated_length_m"":18.3,""wing_shape_observation"":""compact swept-wing tactical jet planform"",""transport_size_bucket"":""small""}],""count"":3,""countConfidence"":0.96,""decision_rationale"":""Three aircraft-shaped display objects are visible: one light-colored delta-wing fighter at left, one dark highly swept triangular stealth-like aircraft in the center display pad, and one compact swept-wing tactical jet near the building at lower right. The strongest evidence is their distinct aircraft planforms with fuselage and wing geometry clearly separable from vehicles and buildings. Main uncertainty is that these appear to be static display aircraft and the central triangular airframe could alternatively be interpreted as an unusual unmanned or experimental display type, but fighter/attack morphology is the best fit. Confidence is reduced slightly by dark tone and partial shadowing, not by major clipping or crowding.""}"
"18_1040050010DC4900_tile_3731","18_1040050010DC4900_tile_3731.png","rareplanes_yolo_300_final","1","1","Medium Civil Transport/Utility","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium|129|38.7|Two underwing engines visible|Low-mounted swept wings with conventional narrow-body tailplane","1|0.1480|0.8390|0.2960|0.3220|0.9400","100.0%","100.0%","100.0%","98.0%","94.0%","The image shows one partially clipped civil narrow-body jet on the left edge/taxiway, with a slender fuselage, swept low wings, two underwing engines, and a conventional tail, all consistent with a medium civil transport rather than a small utility aircraft or wide-body. Main uncertainty comes from edge clipping and incomplete visibility of the airframe, but the remaining morphology strongly supports a medium civil airliner; the most likely alternative would be a large civil transport, though the visible fuselage bulk and overall proportions do not suggest a wide-body.","$0.0067","6983","512","512","completed","{""objects"":[{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.94,""estimated_longest_dimension_px"":129,""estimated_length_m"":38.7,""engine_count_observation"":""Two underwing engines visible"",""wing_shape_observation"":""Low-mounted swept wings with conventional narrow-body tailplane"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":0.148,""y_center"":0.839,""width"":0.296,""height"":0.322}}],""count"":1,""countConfidence"":0.98,""decision_rationale"":""The image shows one partially clipped civil narrow-body jet on the left edge/taxiway, with a slender fuselage, swept low wings, two underwing engines, and a conventional tail, all consistent with a medium civil transport rather than a small utility aircraft or wide-body. Main uncertainty comes from edge clipping and incomplete visibility of the airframe, but the remaining morphology strongly supports a medium civil airliner; the most likely alternative would be a large civil transport, though the visible fuselage bulk and overall proportions do not suggest a wide-body."",""points"":[]}"
