"Image ID","Filename","Subset","Actual Objects","Actual Classes","Actual Class Names","Predicted Objects","Predicted Classes","Predicted Class Names","Predicted Object Diagnostics","Predicted Bounding Boxes","Count Accuracy","Class Accuracy","Localization Accuracy","Count Confidence","Class Confidence","Decision Rationale","Cost","API Duration (ms)","Image Width","Image Height","Status","LLM Response"
"37_104001000EA43C00_tile_231","37_104001000EA43C00_tile_231.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|small-to-medium narrowbody transport|144|36|Two underwing engines visible|Swept low wings with conventional narrowbody airliner planform","","100.0%","0.0%","","98.0%","93.0%","One clearly visible aircraft is present near the lower-right apron. Its planform shows a civil narrowbody jet with two underwing engines and swept wings. Relative scale suggests a single-aisle commercial transport rather than a widebody or military aircraft. Under the provided ontology, this best matches class 0.","$0.0035","5166","512","512","completed","{""objects"":[{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.93,""estimated_longest_dimension_px"":144,""estimated_length_m"":36,""engine_count_observation"":""Two underwing engines visible"",""wing_shape_observation"":""Swept low wings with conventional narrowbody airliner planform"",""transport_size_bucket"":""small-to-medium narrowbody transport"",""bbox"":{""x_center"":421,""y_center"":454,""width"":190,""height"":112}}],""count"":1,""countConfidence"":0.98,""decision_rationale"":""One clearly visible aircraft is present near the lower-right apron. Its planform shows a civil narrowbody jet with two underwing engines and swept wings. Relative scale suggests a single-aisle commercial transport rather than a widebody or military aircraft. Under the provided ontology, this best matches class 0."",""points"":[{""class_id"":0,""x"":421,""y"":454,""confidence"":0.93}]}"
"47_104001001D2C7A00_tile_86","47_104001001D2C7A00_tile_86.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium|44|22|engine count not clearly discernible from this image; likely twin-engine civil jet|swept wings with conventional tail, consistent with a small-to-medium business/regional jet","","100.0%","0.0%","","95.0%","82.0%","One clearly visible aircraft is present near the lower-right apron area. Its planform appears to be a civil jet with swept wings and moderate fuselage length. Relative size against nearby vehicles/parking markings suggests a medium civil transport/utility aircraft rather than a large airliner or small fighter-type platform. No other definite aircraft are visible elsewhere in the scene.","$0.0037","5186","512","512","completed","{""objects"":[{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.82,""estimated_longest_dimension_px"":44,""estimated_length_m"":22,""engine_count_observation"":""engine count not clearly discernible from this image; likely twin-engine civil jet"",""wing_shape_observation"":""swept wings with conventional tail, consistent with a small-to-medium business/regional jet"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":727,""y_center"":635,""width"":49,""height"":44}}],""count"":1,""countConfidence"":0.95,""decision_rationale"":""One clearly visible aircraft is present near the lower-right apron area. Its planform appears to be a civil jet with swept wings and moderate fuselage length. Relative size against nearby vehicles/parking markings suggests a medium civil transport/utility aircraft rather than a large airliner or small fighter-type platform. No other definite aircraft are visible elsewhere in the scene."",""points"":[{""class_id"":1,""x"":727,""y"":635,""confidence"":0.82}]}"
"18_1040050010DC4900_tile_3040","18_1040050010DC4900_tile_3040.png","rareplanes_yolo_300_final","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","2","2;2","Large Civil Transport/Utility;Large Civil Transport/Utility","Large Civil Transport/Utility|large|191|68|4 engines visible under wings|swept wings, wide-body airliner planform;Large Civil Transport/Utility|large|178|64|4 engines visible under wings|swept wings, wide-body airliner planform","","100.0%","100.0%","","98.0%","94.0%;95.0%","Two aircraft are clearly visible parked at terminal gates. Both have very large fuselages, swept wings, and appear to have four underwing engines, consistent with large civil transport airliners rather than military platforms or smaller regional aircraft.","$0.0044","4913","512","512","completed","{""objects"":[{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.94,""estimated_longest_dimension_px"":191,""estimated_length_m"":68,""engine_count_observation"":""4 engines visible under wings"",""wing_shape_observation"":""swept wings, wide-body airliner planform"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":145,""y_center"":221,""width"":191,""height"":175}},{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.95,""estimated_longest_dimension_px"":178,""estimated_length_m"":64,""engine_count_observation"":""4 engines visible under wings"",""wing_shape_observation"":""swept wings, wide-body airliner planform"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":346,""y_center"":298,""width"":186,""height"":162}}],""count"":2,""countConfidence"":0.98,""decision_rationale"":""Two aircraft are clearly visible parked at terminal gates. Both have very large fuselages, swept wings, and appear to have four underwing engines, consistent with large civil transport airliners rather than military platforms or smaller regional aircraft."",""points"":[{""class_id"":2,""x"":145,""y"":221,""confidence"":0.94},{""class_id"":2,""x"":346,""y"":298,""confidence"":0.95}]}"
"52_1040010039815D00_tile_527","52_1040010039815D00_tile_527.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","","","","","","0.0%","0.0%","","97.0%","","Visual inspection of the snowy airfield area shows a runway/taxiway segment and parked ground equipment or vehicles near the upper-right edge, but no clear aircraft-shaped objects with discernible fuselage-wing-tail geometry are visible in the image. The small dark/red feature near the lower-central area appears to be a marker or light pole rather than an aircraft.","$0.0025","2982","512","512","completed","{""objects"":[],""count"":0,""countConfidence"":0.97,""decision_rationale"":""Visual inspection of the snowy airfield area shows a runway/taxiway segment and parked ground equipment or vehicles near the upper-right edge, but no clear aircraft-shaped objects with discernible fuselage-wing-tail geometry are visible in the image. The small dark/red feature near the lower-central area appears to be a marker or light pole rather than an aircraft."",""points"":[]}"
"118_10400100213D3100_tile_526","118_10400100213D3100_tile_526.png","rareplanes_yolo_300_final","1","3","Military Transport/Utility/AWAC","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium|42|26|Likely twin-engine jet, exact engine count unclear from overhead view|Low-mounted swept wings with conventional tail","","100.0%","0.0%","","93.0%","69.0%","The image shows one clearly visible aircraft parked near the terminal/apron at the lower-left side. Its apparent size and proportions suggest a medium civil transport rather than a small utility aircraft or a large transport. No clear military features are visible, and the airport context supports civil classification.","$0.0035","4532","512","512","completed","{""objects"":[{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.69,""estimated_longest_dimension_px"":42,""estimated_length_m"":26.0,""engine_count_observation"":""Likely twin-engine jet, exact engine count unclear from overhead view"",""wing_shape_observation"":""Low-mounted swept wings with conventional tail"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":76,""y_center"":239,""width"":51,""height"":39}}],""count"":1,""countConfidence"":0.93,""decision_rationale"":""The image shows one clearly visible aircraft parked near the terminal/apron at the lower-left side. Its apparent size and proportions suggest a medium civil transport rather than a small utility aircraft or a large transport. No clear military features are visible, and the airport context supports civil classification."",""points"":[{""class_id"":1,""x"":76,""y"":239,""confidence"":0.69}]}"
"42_10400100055EA300_tile_1023","42_10400100055EA300_tile_1023.png","rareplanes_yolo_300_final","1","2","Large Civil Transport/Utility","1","0","Small Civil Transport/Utility","Small Civil Transport/Utility|small-to-medium airliner|145|36|Approximately 2 underwing engines visible|Swept wings with conventional tail, narrow-body airliner silhouette","","100.0%","0.0%","","95.0%","74.0%","One clearly visible aircraft is present near the top-right portion of the image. Its planform shows a civil transport layout with swept wings, conventional tail, and apparent twin underwing engines. Based on apparent size relative to apron markings and overall narrow-body proportions, it is best matched to Small Civil Transport/Utility rather than military categories or larger wide-body transport classes.","$0.0037","5352","512","512","completed","{""objects"":[{""class"":0,""className"":""Small Civil Transport/Utility"",""confidence"":0.74,""estimated_longest_dimension_px"":145,""estimated_length_m"":36,""engine_count_observation"":""Approximately 2 underwing engines visible"",""wing_shape_observation"":""Swept wings with conventional tail, narrow-body airliner silhouette"",""transport_size_bucket"":""small-to-medium airliner"",""bbox"":{""x_center"":401,""y_center"":46,""width"":104,""height"":145}}],""count"":1,""countConfidence"":0.95,""decision_rationale"":""One clearly visible aircraft is present near the top-right portion of the image. Its planform shows a civil transport layout with swept wings, conventional tail, and apparent twin underwing engines. Based on apparent size relative to apron markings and overall narrow-body proportions, it is best matched to Small Civil Transport/Utility rather than military categories or larger wide-body transport classes."",""points"":[{""class_id"":0,""x"":401,""y"":46,""confidence"":0.74}]}"
"127_104001002B3BB400_tile_711","127_104001002B3BB400_tile_711.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","4","Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|small|36|18|engine count not clearly discernible; likely 1-2 based on fighter-sized airframe|compact swept-wing / fighter-like planform","","100.0%","100.0%","","85.0%","79.0%","One clearly visible aircraft is present on the grass display area near the right-center of the image. Its compact size, pointed nose, narrow fuselage, and swept-wing appearance are more consistent with a military fast-jet than with any transport/utility aircraft. No other aircraft are confidently identifiable; the remaining visible vehicles are cars or ground objects.","$0.0037","4906","512","512","completed","{""objects"":[{""class"":4,""className"":""Military Fighter/Interceptor/Attack"",""confidence"":0.79,""estimated_longest_dimension_px"":36,""estimated_length_m"":18,""engine_count_observation"":""engine count not clearly discernible; likely 1-2 based on fighter-sized airframe"",""wing_shape_observation"":""compact swept-wing / fighter-like planform"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":404,""y_center"":174,""width"":39,""height"":36}}],""count"":1,""countConfidence"":0.85,""decision_rationale"":""One clearly visible aircraft is present on the grass display area near the right-center of the image. Its compact size, pointed nose, narrow fuselage, and swept-wing appearance are more consistent with a military fast-jet than with any transport/utility aircraft. No other aircraft are confidently identifiable; the remaining visible vehicles are cars or ground objects."",""points"":[{""class_id"":4,""x"":404,""y"":174,""confidence"":0.79}]}"
"84_10400100290F5300_tile_264","84_10400100290F5300_tile_264.png","rareplanes_yolo_300_final","1","1","Medium Civil Transport/Utility","1","2","Large Civil Transport/Utility","Large Civil Transport/Utility|large|99|50|Likely twin-engine underwing transport jet|Swept wings with conventional narrow-body/airliner planform","","100.0%","0.0%","","97.0%","90.0%","One clearly visible aircraft is present in the lower-left portion of the image on the apron/taxiway. Its elongated fuselage, swept wings, and overall commercial jet appearance indicate a civil transport aircraft. Based on its apparent size relative to markings and pavement, it is best categorized as Large Civil Transport/Utility under the provided ontology.","$0.0036","4464","512","512","completed","{""objects"":[{""class"":2,""className"":""Large Civil Transport/Utility"",""confidence"":0.9,""estimated_longest_dimension_px"":99,""estimated_length_m"":50,""engine_count_observation"":""Likely twin-engine underwing transport jet"",""wing_shape_observation"":""Swept wings with conventional narrow-body/airliner planform"",""transport_size_bucket"":""large"",""bbox"":{""x_center"":45,""y_center"":384,""width"":87,""height"":102}}],""count"":1,""countConfidence"":0.97,""decision_rationale"":""One clearly visible aircraft is present in the lower-left portion of the image on the apron/taxiway. Its elongated fuselage, swept wings, and overall commercial jet appearance indicate a civil transport aircraft. Based on its apparent size relative to markings and pavement, it is best categorized as Large Civil Transport/Utility under the provided ontology."",""points"":[{""class_id"":2,""x"":45,""y"":384,""confidence"":0.9}]}"
"1_104005000FDC8D00_tile_13","1_104005000FDC8D00_tile_13.png","rareplanes_yolo_300_final","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","3","4;4;4","Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack;Military Fighter/Interceptor/Attack","Military Fighter/Interceptor/Attack|small|49|16|engine count not clearly resolvable; likely twin-engine fighter-sized silhouettes|compact swept-wing/delta-like military fast-jet silhouettes parked together;Military Fighter/Interceptor/Attack|small|46|15|engine count not clearly resolvable; likely twin-engine fighter-sized silhouette|compact swept-wing military jet outline;Military Fighter/Interceptor/Attack|small|44|15|engine count not clearly resolvable|swept-wing fighter-like parked aircraft","","100.0%","100.0%","","83.0%","88.0%;87.0%;86.0%","Three distinct aircraft are visible clustered at the bottom-right corner of the image near the road. Their compact size, pointed noses, and swept/delta-like planforms are more consistent with military fighter/attack aircraft than civil transports or large military transports. No other clear aircraft are visible elsewhere in the scene; small dark objects near the top-right appear more like vehicles or sheds than aircraft.","$0.0060","7569","512","512","completed","{""objects"":[{""class"":4,""className"":""Military Fighter/Interceptor/Attack"",""confidence"":0.88,""estimated_longest_dimension_px"":49,""estimated_length_m"":16,""engine_count_observation"":""engine count not clearly resolvable; likely twin-engine fighter-sized silhouettes"",""wing_shape_observation"":""compact swept-wing/delta-like military fast-jet silhouettes parked together"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":970,""y_center"":958,""width"":107,""height"":62}},{""class"":4,""className"":""Military Fighter/Interceptor/Attack"",""confidence"":0.87,""estimated_longest_dimension_px"":46,""estimated_length_m"":15,""engine_count_observation"":""engine count not clearly resolvable; likely twin-engine fighter-sized silhouette"",""wing_shape_observation"":""compact swept-wing military jet outline"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":929,""y_center"":962,""width"":56,""height"":57}},{""class"":4,""className"":""Military Fighter/Interceptor/Attack"",""confidence"":0.86,""estimated_longest_dimension_px"":44,""estimated_length_m"":15,""engine_count_observation"":""engine count not clearly resolvable"",""wing_shape_observation"":""swept-wing fighter-like parked aircraft"",""transport_size_bucket"":""small"",""bbox"":{""x_center"":1006,""y_center"":954,""width"":52,""height"":55}}],""count"":3,""countConfidence"":0.83,""decision_rationale"":""Three distinct aircraft are visible clustered at the bottom-right corner of the image near the road. Their compact size, pointed noses, and swept/delta-like planforms are more consistent with military fighter/attack aircraft than civil transports or large military transports. No other clear aircraft are visible elsewhere in the scene; small dark objects near the top-right appear more like vehicles or sheds than aircraft."",""points"":[{""class_id"":4,""x"":970,""y"":958,""confidence"":0.88},{""class_id"":4,""x"":929,""y"":962,""confidence"":0.87},{""class_id"":4,""x"":1006,""y"":954,""confidence"":0.86}]}"
"81_1040010032B86F00_tile_375","81_1040010032B86F00_tile_375.png","rareplanes_yolo_300_final","1","4","Military Fighter/Interceptor/Attack","1","1","Medium Civil Transport/Utility","Medium Civil Transport/Utility|medium|88|11.5|engine details not clearly resolvable; likely single-engine light aircraft|straight wings, small general aviation silhouette parked near building","","100.0%","0.0%","","82.0%","66.0%","One aircraft is visible parked on the apron near the small building at right-center. The aircraft appears to be a small general aviation fixed-wing plane. Given the ontology options and the apparent moderate pixel length relative to nearby road and structures, it is best matched to Medium Civil Transport/Utility, though confidence is moderate because the ontology categories do not map cleanly to light GA aircraft and image resolution limits fine-grained identification.","$0.0038","5195","512","512","completed","{""objects"":[{""class"":1,""className"":""Medium Civil Transport/Utility"",""confidence"":0.66,""estimated_longest_dimension_px"":88,""estimated_length_m"":11.5,""engine_count_observation"":""engine details not clearly resolvable; likely single-engine light aircraft"",""wing_shape_observation"":""straight wings, small general aviation silhouette parked near building"",""transport_size_bucket"":""medium"",""bbox"":{""x_center"":717,""y_center"":282,""width"":112,""height"":29}}],""count"":1,""countConfidence"":0.82,""decision_rationale"":""One aircraft is visible parked on the apron near the small building at right-center. The aircraft appears to be a small general aviation fixed-wing plane. Given the ontology options and the apparent moderate pixel length relative to nearby road and structures, it is best matched to Medium Civil Transport/Utility, though confidence is moderate because the ontology categories do not map cleanly to light GA aircraft and image resolution limits fine-grained identification."",""points"":[{""class_id"":1,""x"":717,""y"":282,""confidence"":0.66}]}"
